video protocol: H265
revision all
AVD CRC 7e56b6ad 1f844a7e 1f833393; 0 0 0
AVD CRC 7df002bc 1f7c4bcb 1f6b100d; 0 0 0
AVD CRC 7df1beb7 1f7b1582 1f6afbe7; 0 0 0
AVD CRC 7dede2fb 1f799a8a 1f6ac986; 0 0 0
AVD CRC 7ded4bab 1f791835 1f6a088b; 0 0 0
AVD CRC 7de8f372 1f79df23 1f68ba85; 0 0 0
AVD CRC 7de9b2a7 1f7af05a 1f67abc8; 0 0 0
AVD CRC 7de786d2 1f7d3cde 1f67ce9d; 0 0 0
AVD CRC 7de75643 1f80b254 1f68329b; 0 0 0
AVD CRC 7debbb8a 1f81cc93 1f68702c; 0 0 0
AVD CRC 7defeb1c 1f82d7ba 1f6888e4; 0 0 0
AVD CRC 7df2fa08 1f82744e 1f68bc8f; 0 0 0
AVD CRC 7df38b04 1f815ac7 1f699e00; 0 0 0
AVD CRC 7df8bf4f 1f80ce4a 1f6aed40; 0 0 0
AVD CRC 7e01b51e 1f804b3d 1f6c2640; 0 0 0
AVD CRC 7e0d3b3e 1f7e3713 1f6d55ba; 0 0 0
AVD CRC 7e0d21ca 1f7caa11 1f6e19aa; 0 0 0
AVD CRC 7e09e730 1f7d4568 1f6df24d; 0 0 0
AVD CRC 7e072c1c 1f7bd526 1f6d71f4; 0 0 0
AVD CRC 7e04fad0 1f7eb518 1f6ce5df; 0 0 0
AVD CRC 7dfcf4a5 1f7f9e85 1f6bea46; 0 0 0
AVD CRC 7dfe3211 1f811d39 1f695a86; 0 0 0
AVD CRC 7dfdb83a 1f82c374 1f66852d; 0 0 0
AVD CRC 7dffa083 1f84603c 1f6433dc; 0 0 0
AVD CRC 7e014723 1f84ea01 1f626318; 0 0 0
AVD CRC 7dffe06c 1f85590f 1f60351e; 0 0 0
AVD CRC 7e0051a5 1f8500ee 1f5f53be; 0 0 0
AVD CRC 7dfd291b 1f84e0dd 1f5f61e4; 0 0 0
AVD CRC 7df6bef6 1f85ee7b 1f5e5146; 0 0 0
AVD CRC 7df3d5ab 1f876fe9 1f5d3dc9; 0 0 0
AVD CRC 7deeaa07 1f86d32d 1f5cef90; 0 0 0
AVD CRC 7de9bf49 1f85b591 1f5d511f; 0 0 0
AVD CRC 7deb16d0 1f84b362 1f5da8ea; 0 0 0
AVD CRC 7decde36 1f83b0c8 1f5d7840; 0 0 0
AVD CRC 7df39dcb 1f837e81 1f5e88b7; 0 0 0
AVD CRC 7df9e1e4 1f83386f 1f5f45bd; 0 0 0
AVD CRC 7dfd9654 1f822a69 1f5f6ce3; 0 0 0
AVD CRC 7e048c7b 1f826842 1f5f0d1c; 0 0 0
AVD CRC 7e0b979f 1f82da10 1f5f507e; 0 0 0
AVD CRC 7e17b67a 1f80daa9 1f606bd0; 0 0 0
AVD CRC 7e1dbeea 1f7c6509 1f622942; 0 0 0
AVD CRC 7e22103b 1f7a6134 1f61c50a; 0 0 0
AVD CRC 7e175d45 1f787201 1f61306f; 0 0 0
AVD CRC 7e11d678 1f783043 1f63182f; 0 0 0
AVD CRC 7e0b7c34 1f7b4ea1 1f6180a5; 0 0 0
AVD CRC 7e05d8eb 1f7cf83d 1f5dac94; 0 0 0
AVD CRC 7e0303aa 1f7f4c09 1f5b1746; 0 0 0
AVD CRC 7dfc3105 1f811c63 1f5a78f0; 0 0 0
AVD CRC 7df75895 1f81cfe8 1f5bf423; 0 0 0
AVD CRC 7df52799 1f82f59b 1f5cad52; 0 0 0
AVD CRC 7df7a06d 1f80de6e 1f61a5bb; 0 0 0
AVD CRC 7ded580e 1f7fe77f 1f6b6594; 0 0 0
AVD CRC 7dec6a64 1f80f52b 1f6f09d3; 0 0 0
AVD CRC 7deed3e9 1f7bd61b 1f6e62af; 0 0 0
AVD CRC 7de49f82 1f797857 1f70ba95; 0 0 0
AVD CRC 7df12e4d 1f7b82b6 1f69b625; 0 0 0
AVD CRC 7df8be34 1f7a73d4 1f635a80; 0 0 0
AVD CRC 7e013e55 1f7341a0 1f66e151; 0 0 0
AVD CRC 7e1705a7 1f7bf0b1 1f6c1813; 0 0 0
AVD CRC 7e217429 1f80d16b 1f7664f0; 0 0 0
AVD CRC 7e164821 1f8054af 1f777983; 0 0 0
AVD CRC 7e227ffa 1f818614 1f764d4c; 0 0 0
AVD CRC 7e15b0ec 1f8483d1 1f77128e; 0 0 0
AVD CRC 7e1b9f78 1f879319 1f77ba4b; 0 0 0
AVD CRC 7e1b26bc 1f8810c4 1f75c5f1; 0 0 0
AVD CRC 7e1b53f1 1f86251c 1f747441; 0 0 0
AVD CRC 7e1b128d 1f84d9ca 1f736bdb; 0 0 0
AVD CRC 7e19fc1f 1f83eb3a 1f7392c3; 0 0 0
AVD CRC 7e195f1e 1f82b243 1f73e9f4; 0 0 0
AVD CRC 7e19beff 1f813245 1f7557c5; 0 0 0
AVD CRC 7e15a7f9 1f8067ac 1f769a84; 0 0 0
AVD CRC 7e151d47 1f7f80f6 1f7859fa; 0 0 0
AVD CRC 7e175f58 1f7f3ccb 1f78a665; 0 0 0
AVD CRC 7e1742a7 1f7ef42b 1f78ce93; 0 0 0
AVD CRC 7e144731 1f7e78ea 1f78faa4; 0 0 0
AVD CRC 7e12783b 1f7d6818 1f790e6a; 0 0 0
AVD CRC 7e113af8 1f7d1115 1f792c29; 0 0 0
AVD CRC 7e117de8 1f7c1d05 1f795ff4; 0 0 0
AVD CRC 7e11b282 1f7b9bed 1f79c2e7; 0 0 0
AVD CRC 7e11b56d 1f7b01eb 1f7a0f9f; 0 0 0
AVD CRC 7e114105 1f7aad70 1f7a18c3; 0 0 0
AVD CRC 7e12443e 1f7a9657 1f7a2dd7; 0 0 0
AVD CRC 7e13f059 1f7a6f0f 1f7a2c3e; 0 0 0
AVD CRC 7e155d48 1f7a683c 1f7a560e; 0 0 0
AVD CRC 7e1507c5 1f7a2e26 1f7a8185; 0 0 0
AVD CRC 7e15c87a 1f7a3da3 1f7a64f6; 0 0 0
AVD CRC 7e1765ee 1f7a6293 1f7a96c0; 0 0 0
AVD CRC 7e18c27e 1f7a53b7 1f7a9ecc; 0 0 0
AVD CRC 7e1a2dfd 1f7a365c 1f7ab29a; 0 0 0
AVD CRC 7e1c41c7 1f7a0523 1f7a882f; 0 0 0
AVD CRC 7e1cd3f2 1f7a534b 1f7ad245; 0 0 0
AVD CRC 7e1befc7 1f7aa7c4 1f7ae10c; 0 0 0
AVD CRC 7e1d98e7 1f7ad8ca 1f7adcad; 0 0 0
AVD CRC 7e1d7a23 1f798d43 1f7adbff; 0 0 0
AVD CRC 7e29fe95 1f7849cd 1f7a9149; 0 0 0
AVD CRC 7e375d58 1f79d62c 1f7aa04d; 0 0 0
AVD CRC 7e338036 1f7a65d1 1f7b8678; 0 0 0
AVD CRC 7e35d7f2 1f79bb80 1f7b2204; 0 0 0
AVD CRC 7e33ea84 1f7d0a21 1f7808ad; 0 0 0
AVD CRC 7e2fec4b 1f7c1d43 1f791196; 0 0 0
AVD CRC 7e29f2f7 1f7a6ed6 1f799386; 0 0 0
AVD CRC 7e22776c 1f79e41f 1f786ecd; 0 0 0
AVD CRC 7e25a518 1f7a052e 1f79c9db; 0 0 0
AVD CRC 7e2d2612 1f7ce88b 1f7a8b1e; 0 0 0
AVD CRC 7e2a406f 1f825c4d 1f7b47a7; 0 0 0
AVD CRC 7e27e607 1f84c269 1f7b357d; 0 0 0
AVD CRC 7e215d68 1f85f4d0 1f7ab88e; 0 0 0
AVD CRC 7e223e08 1f8653d1 1f79ce97; 0 0 0
AVD CRC 7e253ebd 1f85f94f 1f7978b6; 0 0 0
AVD CRC 7e281354 1f85d93f 1f78e4b9; 0 0 0
AVD CRC 7e28a656 1f85b49f 1f789503; 0 0 0
AVD CRC 7e290a98 1f8552e1 1f784b3d; 0 0 0
AVD CRC 7e291df0 1f845742 1f7859e6; 0 0 0
AVD CRC 7e2b1ca8 1f844342 1f783ed1; 0 0 0
AVD CRC 7e2b76b4 1f842ac4 1f783501; 0 0 0
AVD CRC 7e2c4ba1 1f845964 1f783161; 0 0 0
AVD CRC 7e2d2dfd 1f842ef2 1f78023c; 0 0 0
AVD CRC 7e2e67c5 1f84216b 1f77cad6; 0 0 0
AVD CRC 7e2f66fd 1f842977 1f7787cc; 0 0 0
AVD CRC 7e2c9ec0 1f8394be 1f7750df; 0 0 0
AVD CRC 7e28db72 1f833f28 1f77307c; 0 0 0
AVD CRC 7e1d1e0c 1f81aad3 1f77a091; 0 0 0
AVD CRC 7e1d10a0 1f853f29 1f7989ee; 0 0 0
AVD CRC 7e1f2d83 1f848f24 1f7d7072; 0 0 0
AVD CRC 7e16f4b9 1f85f583 1f7b564f; 0 0 0
AVD CRC 7e1251bb 1f883e23 1f75e664; 0 0 0
AVD CRC 7e102c29 1f82d7e7 1f718664; 0 0 0
AVD CRC 7e1934dc 1f7fcb71 1f758627; 0 0 0
AVD CRC 7e2b7472 1f7c4b8e 1f792a5d; 0 0 0
AVD CRC 7e2aeec9 1f7c097d 1f782334; 0 0 0
AVD CRC 7e27c49e 1f7f53a2 1f776425; 0 0 0
AVD CRC 7e19fd55 1f7fc017 1f7958e5; 0 0 0
AVD CRC 7e1e87ca 1f7fcb8b 1f789e5d; 0 0 0
AVD CRC 7e21aaf5 1f7f4b71 1f770cdf; 0 0 0
AVD CRC 7e195641 1f8069f6 1f75f22d; 0 0 0
AVD CRC 7e1a5367 1f8086bc 1f753a85; 0 0 0
AVD CRC 7e160691 1f7fd208 1f75f918; 0 0 0
AVD CRC 7e10823b 1f7d9aec 1f778f3d; 0 0 0
AVD CRC 7e09e6fa 1f7979e6 1f7cbea3; 0 0 0
AVD CRC 7e02a2f6 1f759ca2 1f861271; 0 0 0
AVD CRC 7e10f6ce 1f729ae1 1f89b8ca; 0 0 0
AVD CRC 7e117d9c 1f6fff3e 1f8777ba; 0 0 0
AVD CRC 7e17be94 1f6f9d7a 1f850ea8; 0 0 0
AVD CRC 7e1d82cd 1f6f0817 1f819eed; 0 0 0
AVD CRC 7e0dfd65 1f73853b 1f801ae0; 0 0 0
AVD CRC 7e084b57 1f71c4b1 1f85d6eb; 0 0 0
AVD CRC 7e02df50 1f71d1e0 1f86d08e; 0 0 0
AVD CRC 7e0e3394 1f748c96 1f82ccb6; 0 0 0
AVD CRC 7e0cf025 1f7299e6 1f865e95; 0 0 0
AVD CRC 7e157dd6 1f700e05 1f8b59b4; 0 0 0
AVD CRC 7e1dfcbf 1f711900 1f8eff4c; 0 0 0
AVD CRC 7e3b9857 1f700e18 1f894b74; 0 0 0
AVD CRC 7e32d714 1f70908d 1f865612; 0 0 0
AVD CRC 7e2c0c2a 1f71168c 1f848826; 0 0 0
AVD CRC 7e204a5f 1f70db4b 1f8508d2; 0 0 0
AVD CRC 7e22185c 1f70431a 1f84e6f7; 0 0 0
AVD CRC 7e282893 1f6dab1c 1f858386; 0 0 0
AVD CRC 7e2a4585 1f6cbe29 1f86b663; 0 0 0
AVD CRC 7e29b5c3 1f6a980d 1f8813d9; 0 0 0
AVD CRC 7e26ea89 1f6a4a76 1f87e0d5; 0 0 0
AVD CRC 7e266298 1f69d5d5 1f8879dd; 0 0 0
AVD CRC 7e270c24 1f6a2296 1f8964a2; 0 0 0
AVD CRC 7e269852 1f69f941 1f8a498f; 0 0 0
AVD CRC 7e297bfd 1f6a5b17 1f8aa019; 0 0 0
AVD CRC 7e2b19e5 1f6a483e 1f8a8d00; 0 0 0
AVD CRC 7e2b3370 1f6acef0 1f8a7a45; 0 0 0
AVD CRC 7e2bb868 1f6adaf1 1f8a59d1; 0 0 0
AVD CRC 7e2c27ec 1f6ab00b 1f8a8298; 0 0 0
AVD CRC 7e2cd639 1f6aab22 1f8a8290; 0 0 0
AVD CRC 7e2e3aa9 1f6ab994 1f8a809f; 0 0 0
AVD CRC 7e2e5b17 1f6aa927 1f8a8671; 0 0 0
AVD CRC 7e2f16e3 1f6aaa57 1f8a90a4; 0 0 0
AVD CRC 7e2f97c0 1f6ab1bf 1f8aa02d; 0 0 0
AVD CRC 7e2f7029 1f6ab69e 1f8aa48b; 0 0 0
AVD CRC 7e2fcb20 1f6aafe0 1f8aa5c0; 0 0 0
AVD CRC 7e40374f 1f7cdb4b 1f7c780a; 0 0 0
AVD CRC 7e3fbd4a 1f7cb686 1f7c5c36; 0 0 0
AVD CRC 7e3f05f8 1f7ca1be 1f7c86eb; 0 0 0
AVD CRC 7e3f01fb 1f7ca8cf 1f7c8a42; 0 0 0
AVD CRC 7e3db8ee 1f7c96d8 1f7ca243; 0 0 0
AVD CRC 7e38869b 1f7ea0de 1f7d0fce; 0 0 0
AVD CRC 7e38bb30 1f7ec904 1f7d1afc; 0 0 0
AVD CRC 7e387f21 1f7ec60d 1f7d7564; 0 0 0
AVD CRC 7e37f0bf 1f7ebb28 1f7d5892; 0 0 0
AVD CRC 7e3846a6 1f7ea365 1f7d1d7e; 0 0 0
AVD CRC 7e383007 1f7eb3be 1f7d4e71; 0 0 0
AVD CRC 7e372d3a 1f7ebd9c 1f7d640f; 0 0 0
AVD CRC 7e36795b 1f7e6cff 1f7d4d25; 0 0 0
AVD CRC 7e38fb63 1f7cf1cf 1f7e0753; 0 0 0
AVD CRC 7e443ea4 1f7b7134 1f7e7bc3; 0 0 0
AVD CRC 7e467727 1f78e83d 1f7f33c2; 0 0 0
AVD CRC 7e418149 1f75c863 1f80acc5; 0 0 0
AVD CRC 7e411792 1f742f87 1f80a611; 0 0 0
AVD CRC 7e456343 1f75e721 1f847b91; 0 0 0
AVD CRC 7e4225d5 1f77b939 1f7feddc; 0 0 0
AVD CRC 7e464324 1f7b3fdc 1f7bd31b; 0 0 0
AVD CRC 7e3b8eab 1f80c0fd 1f7e9dc3; 0 0 0
AVD CRC 7e402071 1f789418 1f86e36c; 0 0 0
AVD CRC 7e47bbf5 1f6af16d 1f94929f; 0 0 0
AVD CRC 7e442333 1f7c219b 1f877278; 0 0 0
AVD CRC 7e3cb6e5 1f7b7de2 1f86c170; 0 0 0
AVD CRC 7e3e4220 1f7be247 1f86c4f8; 0 0 0
AVD CRC 7e3a62c6 1f7b06f7 1f869a2d; 0 0 0
AVD CRC 7e38cd99 1f79c058 1f86f367; 0 0 0
AVD CRC 7e3aa0f0 1f77fb81 1f87a6e7; 0 0 0
AVD CRC 7e3b8822 1f73e058 1f8b3198; 0 0 0
AVD CRC 7e37d3d2 1f71cc77 1f8cfc40; 0 0 0
AVD CRC 7e38d81c 1f721342 1f8ca210; 0 0 0
AVD CRC 7e3bf710 1f731cec 1f8b8875; 0 0 0
AVD CRC 7e3dc1bd 1f747e82 1f8a3ac0; 0 0 0
AVD CRC 7e3dadfd 1f75670a 1f896912; 0 0 0
AVD CRC 7e3e40c1 1f75eaac 1f88e9eb; 0 0 0
AVD CRC 7e3e6a48 1f75ec77 1f88f840; 0 0 0
AVD CRC 7e3edb83 1f75e648 1f88a933; 0 0 0
AVD CRC 7e3f84a4 1f75f8b7 1f8899e7; 0 0 0
AVD CRC 7e3f0688 1f75e3d5 1f888aae; 0 0 0
AVD CRC 7e3edb44 1f75f50b 1f88ab21; 0 0 0
AVD CRC 7e3e3195 1f75ef44 1f889a0d; 0 0 0
AVD CRC 7e3e705f 1f75e48a 1f88a4d4; 0 0 0
AVD CRC 7e3d66b6 1f75ef33 1f88961b; 0 0 0
AVD CRC 7e3dc514 1f75e8e4 1f889a6a; 0 0 0
AVD CRC 7e3dcade 1f75cfcd 1f887eca; 0 0 0
AVD CRC 7e3da391 1f75d03e 1f888fa3; 0 0 0
AVD CRC 7e3eb46d 1f75c44e 1f888f61; 0 0 0
AVD CRC 7e3f8669 1f7608aa 1f8887f4; 0 0 0
AVD CRC 7e403f8e 1f75faff 1f886489; 0 0 0
AVD CRC 7e42484c 1f75f8b8 1f888461; 0 0 0
AVD CRC 7e4476ac 1f76348d 1f887f2b; 0 0 0
AVD CRC 7e44a187 1f76262f 1f8836d0; 0 0 0
AVD CRC 7e4719bd 1f75e811 1f883c20; 0 0 0
AVD CRC 7e3ec5f8 1f75368d 1f87a81a; 0 0 0
AVD CRC 7e3572ae 1f754eb4 1f8666fd; 0 0 0
AVD CRC 7e2f4110 1f76cf68 1f84bc95; 0 0 0
AVD CRC 7e298aba 1f77f7ab 1f7f8484; 0 0 0
AVD CRC 7e0e4493 1f7a82a8 1f78f8ea; 0 0 0
AVD CRC 7df9fcd7 1f7b231f 1f6e5db5; 0 0 0
AVD CRC 7deeac0f 1f797a28 1f67cca4; 0 0 0
AVD CRC 7dd9a0b7 1f79a477 1f6522f8; 0 0 0
AVD CRC 7dc51052 1f79a160 1f63cd35; 0 0 0
AVD CRC 7dbb8259 1f79f82e 1f6406c5; 0 0 0
AVD CRC 7dc48876 1f7a811f 1f653b8e; 0 0 0
AVD CRC 7dd5ba86 1f7b8676 1f6715f4; 0 0 0
AVD CRC 7de03413 1f7ad6df 1f695fbf; 0 0 0
AVD CRC 7de54405 1f77b595 1f6aaf84; 0 0 0
AVD CRC 7df2424d 1f75b11b 1f6c7d48; 0 0 0
AVD CRC 7df28fac 1f740b96 1f6ecc54; 0 0 0
AVD CRC 7dfbbbf7 1f722789 1f7053cd; 0 0 0
AVD CRC 7e08cae9 1f7324e3 1f71dba7; 0 0 0
AVD CRC 7e2abf08 1f7445fb 1f72da62; 0 0 0
AVD CRC 7e3b5d8d 1f759ddf 1f744301; 0 0 0
AVD CRC 7e47211e 1f7616a5 1f7627d2; 0 0 0
AVD CRC 7e4903da 1f753b9e 1f7740db; 0 0 0
AVD CRC 7e49eada 1f757864 1f78ab20; 0 0 0
AVD CRC 7e4a6c2f 1f75afec 1f796857; 0 0 0
AVD CRC 7e45084c 1f759e84 1f79fd7a; 0 0 0
AVD CRC 7e3f7a36 1f75a787 1f7abc3e; 0 0 0
AVD CRC 7e3b350a 1f756aef 1f7aec73; 0 0 0
AVD CRC 7e39cabc 1f74fada 1f7ac523; 0 0 0
AVD CRC 7e37ec95 1f74ad67 1f7aefb9; 0 0 0
AVD CRC 7e363ce8 1f74b41c 1f7abc0a; 0 0 0
AVD CRC 7e34fb3b 1f7480b1 1f7ab20e; 0 0 0
AVD CRC 7e31c12b 1f749248 1f7b001c; 0 0 0
AVD CRC 7e2cff0a 1f746830 1f7b0d9d; 0 0 0
AVD CRC 7e2ade27 1f73a18c 1f7b5c0d; 0 0 0
AVD CRC 7e29be29 1f73923e 1f7bc120; 0 0 0
AVD CRC 7e284655 1f732b68 1f7c3cf2; 0 0 0
AVD CRC 7e2716e1 1f729a3a 1f7caced; 0 0 0
AVD CRC 7e25e993 1f725e41 1f7d1d70; 0 0 0
AVD CRC 7e24fb3c 1f72285a 1f7d39ac; 0 0 0
AVD CRC 7e25aae3 1f71f9b7 1f7dd3a7; 0 0 0
AVD CRC 7e257ed9 1f715dd4 1f7e2bdb; 0 0 0
AVD CRC 7e23b816 1f710b2a 1f7eb60e; 0 0 0
AVD CRC 7e283646 1f715aac 1f7f399b; 0 0 0
AVD CRC 7e263d85 1f721947 1f7eb781; 0 0 0
AVD CRC 7e2394a1 1f729717 1f7e8a99; 0 0 0
AVD CRC 7e1fe142 1f72fbf4 1f7e5f7b; 0 0 0
AVD CRC 7e1e290b 1f7335ca 1f7eb086; 0 0 0
AVD CRC 7e1d9b7d 1f739cfe 1f7e7046; 0 0 0
AVD CRC 7e19fdf2 1f73e503 1f7e12c3; 0 0 0
AVD CRC 7e172d79 1f7411ae 1f7df1cd; 0 0 0
AVD CRC 7e157e9f 1f74295f 1f7d99fa; 0 0 0
AVD CRC 7e144cb3 1f7420cb 1f7d5a72; 0 0 0
AVD CRC 7e262a6f 1f6d858e 1f7efd80; 0 0 0
AVD CRC 7e260573 1f6d6138 1f7ef540; 0 0 0
AVD CRC 7e269a77 1f6d2932 1f7ee46e; 0 0 0
AVD CRC 7e2796ba 1f6d10db 1f7edee4; 0 0 0
AVD CRC 7e270e0f 1f6d7a1c 1f7edf4e; 0 0 0
AVD CRC 7e278eb4 1f6d87b0 1f7f45d4; 0 0 0
AVD CRC 7e2882d8 1f6dd0e3 1f7fb554; 0 0 0
AVD CRC 7e294fd6 1f6d8009 1f7fa7d6; 0 0 0
AVD CRC 7e29aca1 1f6d6056 1f7fe9a5; 0 0 0
AVD CRC 7e2b0018 1f6d1e92 1f800493; 0 0 0
AVD CRC 7e2b5bbe 1f6d3257 1f806fce; 0 0 0
AVD CRC 7e2ba799 1f6cbdac 1f8082e1; 0 0 0
AVD CRC 7e2af0ca 1f6cb33b 1f80d30b; 0 0 0
AVD CRC 7e2a8cc7 1f6c8411 1f80ff13; 0 0 0
AVD CRC 7e2a678b 1f6c7ec5 1f80fe93; 0 0 0
AVD CRC 7e2a01eb 1f6bc290 1f813f56; 0 0 0
AVD CRC 7e29e80e 1f6bd8ad 1f81623d; 0 0 0
AVD CRC 7e291093 1f6ba080 1f819c1d; 0 0 0
AVD CRC 7e29c1c0 1f69d0ec 1f8209ae; 0 0 0
AVD CRC 7e2a0263 1f697ea5 1f82545e; 0 0 0
AVD CRC 7e2dfe9a 1f696d74 1f82d78d; 0 0 0
AVD CRC 7e2b93b2 1f68a355 1f8355f5; 0 0 0
AVD CRC 7e2aae19 1f685cd9 1f83bfa1; 0 0 0
AVD CRC 7e2da68e 1f674189 1f833b32; 0 0 0
AVD CRC 7e2f0743 1f66f0ab 1f839adc; 0 0 0
AVD CRC 7e130c23 1f676190 1f86f792; 0 0 0
AVD CRC 7e2749c1 1f60d847 1f8e3b1c; 0 0 0
AVD CRC 7e29c1b8 1f61f951 1f8e53ac; 0 0 0
AVD CRC 7e2348e7 1f617097 1f8f1bc5; 0 0 0
AVD CRC 7e2fe10c 1f5fe7ef 1f8d1c9c; 0 0 0
AVD CRC 7e25e729 1f6052b0 1f899418; 0 0 0
AVD CRC 7e1bb6de 1f612519 1f8a9072; 0 0 0
AVD CRC 7e33e027 1f5e6b1a 1f88f805; 0 0 0
AVD CRC 7e325cef 1f647d77 1f7f248f; 0 0 0
AVD CRC 7e0fc739 1f71f0f9 1f7de92f; 0 0 0
AVD CRC 7dffb9e8 1f76a427 1f7d9c18; 0 0 0
AVD CRC 7e19e4f9 1f78be30 1f7efa1b; 0 0 0
AVD CRC 7e35b752 1f796d76 1f7e9d8a; 0 0 0
AVD CRC 7e2f8300 1f7b1066 1f7df633; 0 0 0
AVD CRC 7e2a5121 1f7b7463 1f7e2a39; 0 0 0
AVD CRC 7e2ee914 1f7a97c9 1f7e5a82; 0 0 0
AVD CRC 7e3003f3 1f7986c4 1f7f1820; 0 0 0
AVD CRC 7e2ccc22 1f794931 1f7f9d91; 0 0 0
AVD CRC 7e2b45be 1f78e9c0 1f7f95bd; 0 0 0
AVD CRC 7e29d596 1f7901bf 1f7f4074; 0 0 0
AVD CRC 7e291144 1f78d317 1f7f8aca; 0 0 0
AVD CRC 7e27b1fe 1f78cd1d 1f7f7f2a; 0 0 0
AVD CRC 7e256c97 1f7887f7 1f7fbfec; 0 0 0
AVD CRC 7e257770 1f784a85 1f7fa216; 0 0 0
AVD CRC 7e23898c 1f7897fd 1f7fa34f; 0 0 0
AVD CRC 7e2035b6 1f78522f 1f7fb16c; 0 0 0
AVD CRC 7e20376b 1f78842f 1f7f5c3f; 0 0 0
AVD CRC 7e1fc7ed 1f77bbd6 1f7f4344; 0 0 0
AVD CRC 7e10bc2a 1f768099 1f7ecd49; 0 0 0
AVD CRC 7e0d26f6 1f7982ca 1f80c25f; 0 0 0
