video protocol: VP8
revision pre-Q
AVD CRC c0cebb68 65de8479 eea3b92; 0 0 0
AVD CRC a5ba6050 b799f73 c70e5e6e; 0 0 0
AVD CRC e678478d e07ba5fd e73abacc; 0 0 0
AVD CRC 197998fd d6e793c9 6619ba52; 0 0 0
AVD CRC e9376c7c 32215 c992beff; 0 0 0
AVD CRC 4e6cd955 aa67fd77 49add255; 0 0 0
AVD CRC e9a6d9d9 7d8dd4e8 21be23e0; 0 0 0
AVD CRC 4d950e20 b4006813 8912896c; 0 0 0
AVD CRC 68e9fd00 2ede9d40 40bc9fc0; 0 0 0
AVD CRC 489a0d42 ad2d2ab5 568a6e15; 0 0 0
AVD CRC 5d79b2a3 fa6e0c99 f1277528; 0 0 0
AVD CRC 725480d7 93e2068e 90c9bf9e; 0 0 0
AVD CRC f96fd987 ff40db8e 59c58021; 0 0 0
AVD CRC 4a46a622 f905d4b9 b7028f73; 0 0 0
AVD CRC 1c188c91 911e4bfd 4772091d; 0 0 0
AVD CRC edba65dd 2db77fe9 295e6815; 0 0 0
AVD CRC 8aaa3821 5e6d98c4 a9b24dbd; 0 0 0
AVD CRC cf2ebdb4 b77a7b96 5f7c60c3; 0 0 0
AVD CRC c9f8c07e a956313 dce70ed1; 0 0 0
AVD CRC 76ee0873 163d1bbe 496c100e; 0 0 0
AVD CRC 657e6072 5c06060e a79e5e04; 0 0 0
AVD CRC 51b25485 7d81e963 4c171116; 0 0 0
AVD CRC 47175c7b cb4ee0c2 afdac90c; 0 0 0
AVD CRC 91d1c1e0 bc216e41 58897f74; 0 0 0
AVD CRC bc6d88e2 108f19b 8f8db65c; 0 0 0
AVD CRC 3bcceb4c 7ec258ce d0408865; 0 0 0
AVD CRC 517c0f12 7a84f9b1 ab561615; 0 0 0
AVD CRC c875d5d5 f9065445 db57d731; 0 0 0
AVD CRC b2b25c8 d90329d7 abf81bad; 0 0 0
AVD CRC 3b1709cf d067383b 4cb98a27; 0 0 0
AVD CRC 10aa4579 45ab3a15 52f81145; 0 0 0
AVD CRC 756aee1a 903f9783 f643931a; 0 0 0
AVD CRC 7939f601 9359d515 22874cb6; 0 0 0
AVD CRC 40488217 1bd7a9bd 688b9ce8; 0 0 0
AVD CRC 827174df 3e4dcb76 c812b6f7; 0 0 0
AVD CRC afbdc671 45dfa4db 500aa818; 0 0 0
AVD CRC bef7fc66 89bbddec 13794b60; 0 0 0
AVD CRC f4ee1e09 6eb2fe0a 79e3a76b; 0 0 0
AVD CRC 43578844 69b1647c 2e0e37af; 0 0 0
AVD CRC 4a8d1596 e46ddf51 d2923ada; 0 0 0
AVD CRC 90684cc 6ccc4f91 26ea2db2; 0 0 0
AVD CRC 61047a47 b0c8c93a f67d6889; 0 0 0
AVD CRC c6389273 be5e0c7e c0de460c; 0 0 0
AVD CRC fc1446bf 663506bd 723568ac; 0 0 0
AVD CRC 8f52a9c3 238a3619 10a16176; 0 0 0
AVD CRC 8b7ef0b1 514d6c0e ada17ce3; 0 0 0
AVD CRC d9fca86e ca286c22 4a0bf4dc; 0 0 0
AVD CRC 8eb9e52f 2408424b 520c10dc; 0 0 0
AVD CRC f9e2c749 6308540f 78a40be5; 0 0 0
AVD CRC d297b2ac eb79d462 cf1aeb4c; 0 0 0
AVD CRC 61d14370 8f425ea7 7ded77e7; 0 0 0
AVD CRC 1d7f89b8 f6c096c7 206332aa; 0 0 0
AVD CRC 994344aa 549313f1 56a398e4; 0 0 0
AVD CRC 2d4bf14 a3e616be 3afcd950; 0 0 0
AVD CRC dca33a88 759a18ef 1107ff58; 0 0 0
AVD CRC 71db9ba6 1e4314e e8803664; 0 0 0
AVD CRC 988219b8 dbc849bd 7074855; 0 0 0
AVD CRC 6a9e437c 776a046d 6cf4b5ea; 0 0 0
-----------------------------------------
revision Q
AVD CRC d18fcc8b 21dbdc23 24000acf; 0 0 0
AVD CRC 738c5e00 21dbdc23 24000acf; 0 0 0
AVD CRC 738c5e00 21dbdc23 24000acf; 0 0 0
AVD CRC 738c5e00 21dbdc23 24000acf; 0 0 0
AVD CRC 738c5e00 21dbdc23 24000acf; 0 0 0
AVD CRC 6ba289c0 21dbdc23 24000acf; 0 0 0
AVD CRC 6ba289c0 21dbdc23 24000acf; 0 0 0
AVD CRC 6ba289c0 21dbdc23 24000acf; 0 0 0
AVD CRC 6ba289c0 21dbdc23 24000acf; 0 0 0
AVD CRC 4afc3b02 21dbdc23 c99b7048; 0 0 0
AVD CRC ede9f3c 21dbdc23 c99b7048; 0 0 0
AVD CRC ede9f3c 21dbdc23 c99b7048; 0 0 0
AVD CRC ede9f3c 21dbdc23 c99b7048; 0 0 0
AVD CRC aa75f8e2 21dbdc23 c99b7048; 0 0 0
AVD CRC 5c7a4c45 21dbdc23 c99b7048; 0 0 0
AVD CRC 5c7a4c45 21dbdc23 c99b7048; 0 0 0
AVD CRC 5c7a4c45 21dbdc23 c99b7048; 0 0 0
AVD CRC 5c7a4c45 21dbdc23 c99b7048; 0 0 0
AVD CRC 5c7a4c45 21dbdc23 c99b7048; 0 0 0
AVD CRC 5c7a4c45 21dbdc23 c99b7048; 0 0 0
AVD CRC 5c7a4c45 21dbdc23 c99b7048; 0 0 0
AVD CRC 5c7a4c45 21dbdc23 c99b7048; 0 0 0
AVD CRC 5c7a4c45 21dbdc23 c99b7048; 0 0 0
AVD CRC 5c7a4c45 21dbdc23 c99b7048; 0 0 0
AVD CRC 5c7a4c45 21dbdc23 c99b7048; 0 0 0
AVD CRC 690f3035 89b488f9 5f4ccd1b; 0 0 0
AVD CRC ea353b20 92b909b6 4b3ecb8e; 0 0 0
AVD CRC 183976d9 8e39eb64 13594a01; 0 0 0
AVD CRC d6b445fb 55fe9556 23e2f3db; 0 0 0
AVD CRC 8a7b66be 12780d09 b28fa274; 0 0 0
AVD CRC 6d2fe9ac 9d54df56 a38a969b; 0 0 0
AVD CRC ccff5362 b0f23811 8ccdf42b; 0 0 0
AVD CRC bc1c64b3 8c68ff7a 758ff47a; 0 0 0
AVD CRC 46ea1862 cfb72256 9a994abe; 0 0 0
AVD CRC 2270bcb2 712e122b ec3bd1ad; 0 0 0
AVD CRC 7f1bce35 5bb15ff0 59532397; 0 0 0
AVD CRC cad1bbac 9ca3b27 d10c7ff1; 0 0 0
AVD CRC 8904d38f 87e7c634 fa2146eb; 0 0 0
AVD CRC d5707126 6a925439 3d5dd56e; 0 0 0
AVD CRC 6ec90879 cdfc24f4 92d23115; 0 0 0
AVD CRC 7a576219 669dd09 a6a71804; 0 0 0
AVD CRC 7401eabc a2cb85fb c1cc8bdf; 0 0 0
AVD CRC 3cab6f2e 93f90a48 9d55e8f7; 0 0 0
AVD CRC baafaea8 9d74af92 3c28908b; 0 0 0
AVD CRC c567606e f16ad032 ce3a9d5f; 0 0 0
AVD CRC 8d88ba71 c2f280b2 2c43b711; 0 0 0
AVD CRC a26ae82e 3fe9741b 36f90b22; 0 0 0
AVD CRC 7c70129c a8a1a52e 26f26731; 0 0 0
AVD CRC 67d91a2e ff2fc2b1 1bba30b7; 0 0 0
AVD CRC 70e6f4a9 cafd1c3b ad387fd6; 0 0 0
AVD CRC 10186065 e461731a fc4aef96; 0 0 0
AVD CRC cf4f0c7d 95044338 8e00dc7d; 0 0 0
AVD CRC c105fef8 e06222d7 43bd4930; 0 0 0
AVD CRC 8c3a4fc9 a7131499 28a5552f; 0 0 0
AVD CRC 565630a9 ba0860d0 59861d1b; 0 0 0
AVD CRC 4970d5ed 5e1e7bd9 eb53c334; 0 0 0
AVD CRC 5d18097e b98cde49 bb2a81a4; 0 0 0
AVD CRC 1eada255 ebc0f5a0 307847ce; 0 0 0
AVD CRC db264ac2 fc5bf49 ae816fe8; 0 0 0
AVD CRC cde9e94d 3d5e6cf2 4cfd375b; 0 0 0
AVD CRC 9a3ad55e 493e46f 325b98a6; 0 0 0
AVD CRC e0830abd e0a1ef77 ddbe078a; 0 0 0
AVD CRC 908dbb47 901bf0dd 30e39042; 0 0 0
AVD CRC 6cabd74e 98a9cd1d 3b2ae10a; 0 0 0
AVD CRC 7a2af13d 503e4832 e5bfa130; 0 0 0
AVD CRC 28428338 812f0b5c 6e6b925e; 0 0 0
AVD CRC d1138df4 35fda3a3 83439827; 0 0 0
AVD CRC cb531f5e c1fa6221 3cce746d; 0 0 0
AVD CRC 632aeb3f 65e411b7 6ae96aa; 0 0 0
AVD CRC a80b97a0 8b52fc1b e5fbb08b; 0 0 0
AVD CRC 820c6ef2 e2a084bd 41aa6fe3; 0 0 0
AVD CRC 9b214e70 2c21a66a 6f97ffc0; 0 0 0
AVD CRC d8a756ca 1d8260af 2672e040; 0 0 0
AVD CRC ea03d69e 4c252d9f 7126e5a2; 0 0 0
AVD CRC 6a29a995 e0941419 693cfca5; 0 0 0
AVD CRC a380fe56 bc3f8f48 d8c11162; 0 0 0
AVD CRC 975110fc d36c97ea a72dac04; 0 0 0
AVD CRC 440f684d d21fe2e0 d232ac12; 0 0 0
AVD CRC cce077f1 7bbf957 181fe16f; 0 0 0
AVD CRC 21bbf76f d2a6497 a3dfb9ac; 0 0 0
AVD CRC 4eb9bdab 1a646ea5 29bb0b8; 0 0 0
AVD CRC ecc9c0ae 836d394c 46897266; 0 0 0
AVD CRC 42238880 501d6be6 2abca8ae; 0 0 0
AVD CRC e9fde0c9 c041cd68 c15d8481; 0 0 0
AVD CRC 47a15cb8 d0e90622 31997ce2; 0 0 0
AVD CRC 7278b0d4 31b3898d 4e476639; 0 0 0
AVD CRC 71bde7f9 290846ab 54d2541f; 0 0 0
AVD CRC 91427ddc 7b52e7e4 b9c7f4a5; 0 0 0
AVD CRC c4f95ceb 3eb0a5da bd7c3e9d; 0 0 0
AVD CRC 1fdcfaea 5db829c3 b207f78f; 0 0 0
AVD CRC 25910522 4af7b11e 49d00b6c; 0 0 0
AVD CRC e44dc3c9 1dc23011 b33ccda0; 0 0 0
AVD CRC ef782b76 7b586b7d 818e9a17; 0 0 0
AVD CRC daea88b3 52d32982 30da833f; 0 0 0
AVD CRC 103a92b5 11cb2a65 c0904c57; 0 0 0
AVD CRC 61449590 bf069a5f 71d4f20e; 0 0 0
AVD CRC 83a6fc6d a518aca5 b5e78515; 0 0 0
AVD CRC 97e5abf5 4900d30f 2488dc15; 0 0 0
AVD CRC e2e52f17 ede7ade1 e342a922; 0 0 0
AVD CRC 19376cdc 5416f6f7 6e936ec7; 0 0 0
AVD CRC 334ec1c9 ee509526 3466d93a; 0 0 0
AVD CRC 19987a02 63501dca ff0e6c67; 0 0 0
AVD CRC 953a6bdb 6d1a0c24 2279d56b; 0 0 0
AVD CRC 16c17fee 1b3c7a9c cd6a69e9; 0 0 0
AVD CRC 8e9aab09 3ce9699c 4660d918; 0 0 0
AVD CRC 668c2ae6 fa0164e3 ae90a35e; 0 0 0
AVD CRC e0bc0eb5 650072f3 7996461b; 0 0 0
AVD CRC 3deafcd7 52b9e2c6 16d260eb; 0 0 0
AVD CRC 66a436c7 8c07705a 9ef8f713; 0 0 0
AVD CRC 4a26d4fc 744219c2 fbede74c; 0 0 0
AVD CRC cb7ad7fb 6d91e6be 976b48ad; 0 0 0
AVD CRC 59b3bd83 8dc8d9a1 5fef32c3; 0 0 0
AVD CRC 35a94b63 d9dca3b4 54fa5eca; 0 0 0
AVD CRC f5c2327c 7f76d158 6d8adfa2; 0 0 0
AVD CRC 9ae9bd6e 17e6b7b3 d85cb75d; 0 0 0
AVD CRC 321c4500 965bbd18 9b3af87c; 0 0 0
AVD CRC 5d9fbec3 19419ed8 f98bcfe2; 0 0 0
AVD CRC 87403906 ea5e4a19 1a25917f; 0 0 0
AVD CRC 6b761fd6 b6603be5 675136ea; 0 0 0
AVD CRC 2ff67dc3 8aba9dd8 110f2e81; 0 0 0
AVD CRC 60f75883 642710fa 37e72853; 0 0 0
AVD CRC b6a26b59 903ee8b6 2079ab9c; 0 0 0
AVD CRC 6c0aba2c 9cb06ed7 d924cb83; 0 0 0
AVD CRC 193e4760 333f96ea 7e4b94fe; 0 0 0
AVD CRC 91c909ca e35efa72 c58a5f75; 0 0 0
AVD CRC 73849173 53cb675b e6d050ac; 0 0 0
AVD CRC 529b9763 7c7566e6 d59e7bf4; 0 0 0
AVD CRC fe77ae5e a2919489 849dd2b9; 0 0 0
AVD CRC ffe925a0 30bae9e8 a208573d; 0 0 0
AVD CRC 89446b56 60690926 d8080b29; 0 0 0
AVD CRC bd414325 397d642c 4c3e0be0; 0 0 0
AVD CRC 17cc1d9e 5a7acc12 2f900aae; 0 0 0
AVD CRC 838b4d3e e5e0a483 9b3a9e05; 0 0 0
AVD CRC b8acbb92 9e42e45b 72526c57; 0 0 0
AVD CRC 4c921e82 ef152e83 ece9adf6; 0 0 0
AVD CRC ec27acf3 46634a02 3accdb68; 0 0 0
AVD CRC dec11fba a5788525 a174ba70; 0 0 0
AVD CRC 44049a7e f83c352f 535e43e9; 0 0 0
AVD CRC 7ea7f4ab 9c5f645e 8e49dce3; 0 0 0
AVD CRC c77559 4966f72a d0639a8; 0 0 0
AVD CRC d5839ce7 3c77b3f9 b2336d3c; 0 0 0
AVD CRC db4b86d1 11711165 efa62b59; 0 0 0
AVD CRC c9d08ddd 5151b82f 4ef01ed9; 0 0 0
AVD CRC ae695a51 b6bd3a06 39effdee; 0 0 0
AVD CRC 9f59146e 8cf90c79 8218cb1c; 0 0 0
AVD CRC 28cc2df4 654867e 15f92173; 0 0 0
AVD CRC 536cfcf0 8c6703ef 6c603fc6; 0 0 0
AVD CRC ebff5bb4 6979e145 170b8e7d; 0 0 0
AVD CRC a488e6b6 2ea84575 67b95553; 0 0 0
AVD CRC e928c2d8 def272ba 75013fb0; 0 0 0
AVD CRC 13b2c9a6 ff1b7ca0 a58d06bd; 0 0 0
AVD CRC 26f4dc40 e5f59e88 3c441278; 0 0 0
AVD CRC 5137b65e cae66616 d7b40e04; 0 0 0
AVD CRC 6eb308a9 38191322 1cfe83a3; 0 0 0
AVD CRC 1795e40f 53275804 faed21e8; 0 0 0
AVD CRC 3c5b4a21 4cea807 3deec152; 0 0 0
AVD CRC 10c1b968 918e738 65772014; 0 0 0
AVD CRC 5b272df 35f55aa4 2790ec31; 0 0 0
AVD CRC bb46fa0a 806f4274 7db9367f; 0 0 0
AVD CRC 3552630 9d851f8b 8e523f7c; 0 0 0
AVD CRC c04d6401 f446b553 5ad6cce5; 0 0 0
AVD CRC d7625e51 303547da f1c39038; 0 0 0
AVD CRC bf9d8b96 14d3deb5 1af52b8a; 0 0 0
AVD CRC 6227dc14 5c15ba3d a2bce416; 0 0 0
AVD CRC 8d7a7f4d bf07a1ee 7c64db55; 0 0 0
AVD CRC a0592592 5581ffe 5963bcb9; 0 0 0
AVD CRC 1391ad98 584af1e 4209a790; 0 0 0
AVD CRC 2ec1dc27 c0e51fb6 f47da4a0; 0 0 0
AVD CRC 6ef7287c 528f0d31 5799ea7a; 0 0 0
AVD CRC 7f3907f2 5fc46e3a bcefec0c; 0 0 0
AVD CRC b0b7451c c121ef59 db468d79; 0 0 0
AVD CRC 6267161 4af8348a b38d8449; 0 0 0
AVD CRC e6d48611 16887574 57c9a4f7; 0 0 0
AVD CRC e2f07306 2eee5b7c 794e25c; 0 0 0
AVD CRC 26f5f0c3 ec76bbaf 4f42ec88; 0 0 0
AVD CRC 61b91632 bbd614a6 c6979583; 0 0 0
AVD CRC 6111768f 7c0462a4 8cd68b0e; 0 0 0
AVD CRC be22b26a e93a43bd 3e9b9f45; 0 0 0
AVD CRC 8a409e e31937b1 4c36188b; 0 0 0
AVD CRC 668ddafd a8b56e16 c6d029f; 0 0 0
AVD CRC 2e807ef6 7bf85ee3 2fbadd80; 0 0 0
AVD CRC 340b6275 de7a9167 ff292802; 0 0 0
AVD CRC cc6d404a f17f6d16 2ec15d1f; 0 0 0
AVD CRC 4832f5dd ff5a95bc b4c5217b; 0 0 0
AVD CRC b20d6cd3 14964e50 4955b2a8; 0 0 0
AVD CRC d23ffe18 4b86abf6 7458053c; 0 0 0
AVD CRC c86598b7 f2bcf62b 8648310d; 0 0 0
AVD CRC 5606702c 82928e2c 92f99213; 0 0 0
AVD CRC 792b0d14 25459a9f 86d6be04; 0 0 0
AVD CRC 4eb3a878 f7b0bf01 c3e1cbf8; 0 0 0
AVD CRC 2a70f8ac 5d6a42ad 4b78e06b; 0 0 0
AVD CRC 6298bfa9 eda9a773 f2dc694b; 0 0 0
