video protocol: H265
revision all
AVD CRC 15777db 574bd6 4ed3a3; 0 0 0
AVD CRC 1540937 589f95 4d6143; 0 0 0
AVD CRC 15077fb 59229e 4c4e1a; 0 0 0
AVD CRC 1507539 59ccc5 4bcf9f; 0 0 0
AVD CRC 150a0bb 597806 4c45f2; 0 0 0
AVD CRC 150e2a3 590cb3 4cab44; 0 0 0
AVD CRC 1516151 595bab 4cb30c; 0 0 0
AVD CRC 151481c 59829b 4cd007; 0 0 0
AVD CRC 151383a 592710 4ce735; 0 0 0
AVD CRC 1514da9 5903d9 4c83d3; 0 0 0
AVD CRC 148aad7 5869df 4c0ced; 0 0 0
AVD CRC 148c2a8 581b9f 4c3d9e; 0 0 0
AVD CRC 14a15d0 58b09e 4b6875; 0 0 0
AVD CRC 14a54cf 5a58a0 4b55cd; 0 0 0
AVD CRC 14a07b0 599c3e 4b659f; 0 0 0
AVD CRC 1492a89 5983df 4c70a4; 0 0 0
AVD CRC 148e4bf 592ca0 4b915b; 0 0 0
AVD CRC 1453809 581261 4dab1d; 0 0 0
AVD CRC 144c3f7 57945c 4dd6aa; 0 0 0
AVD CRC 1452cfb 57fdc3 4e0bd6; 0 0 0
AVD CRC 148cfb3 577232 4c5ad5; 0 0 0
AVD CRC 1491968 592d64 4b8c6d; 0 0 0
AVD CRC 149d3bb 58a733 4bcaa1; 0 0 0
AVD CRC 149fbfe 58b615 4be56e; 0 0 0
AVD CRC 149b97e 58863d 4c1899; 0 0 0
AVD CRC 141ca91 4706ef 5ff133; 0 0 0
AVD CRC 141cc72 475a9e 606090; 0 0 0
AVD CRC 1407aa2 46a560 602a65; 0 0 0
AVD CRC 140932b 46d80c 5fe154; 0 0 0
AVD CRC 1405d0b 46ae58 5fe95c; 0 0 0
AVD CRC 13ee46d 46ee1d 5f853f; 0 0 0
AVD CRC 13f0761 4717ce 5d795a; 0 0 0
AVD CRC 13e4496 48a8f9 5d728d; 0 0 0
AVD CRC 13e83ad 48bb66 5d5ad7; 0 0 0
AVD CRC 13e4c08 489cc8 5d4cd8; 0 0 0
AVD CRC 13e2b16 496a18 5ce50a; 0 0 0
AVD CRC 13e1cbf 4936a8 5ca9d7; 0 0 0
AVD CRC 13d95c5 49b495 5c0327; 0 0 0
AVD CRC 13d4a0d 49a643 5c19c6; 0 0 0
AVD CRC 13d9cc3 49d1d6 5c0e82; 0 0 0
AVD CRC 13ba690 4a67bc 5b8074; 0 0 0
AVD CRC 13bed14 4a98ec 5b4909; 0 0 0
AVD CRC 13ab644 4adc59 5b4c63; 0 0 0
AVD CRC 13aebb5 4b5ba2 5b3fb2; 0 0 0
AVD CRC 13aa1d6 4b0b5e 5b85ab; 0 0 0
AVD CRC 13bf847 4c9ebd 5b59a5; 0 0 0
AVD CRC 13bd0ae 4ca486 5b7ecc; 0 0 0
AVD CRC 13edc5a 4dccbc 59a0d4; 0 0 0
AVD CRC 13e766e 4dd6bf 599ec5; 0 0 0
AVD CRC 13eec4e 4dcf36 59a347; 0 0 0
AVD CRC 1427fec 4eaf4b 575f34; 0 0 0
AVD CRC 1429f8e 4f0f9b 57d886; 0 0 0
AVD CRC 1468f17 4fe168 558d22; 0 0 0
AVD CRC 146e498 4fe8fc 5596d3; 0 0 0
AVD CRC 14696f7 4fee11 556f0e; 0 0 0
AVD CRC 149c42d 50cf25 56c86b; 0 0 0
AVD CRC 14931fc 51001e 56b45e; 0 0 0
AVD CRC 14cafb3 518e39 5789e4; 0 0 0
AVD CRC 14cb440 5152a9 5776a3; 0 0 0
AVD CRC 14c9cdb 51a71e 57665f; 0 0 0
AVD CRC 14da598 5222f1 57df5c; 0 0 0
AVD CRC 14dcdc1 52818d 585934; 0 0 0
AVD CRC 14ff7e7 52bafb 588347; 0 0 0
AVD CRC 1507753 528c8b 581a18; 0 0 0
AVD CRC 1503727 525f89 585e80; 0 0 0
AVD CRC 1520eb0 52b70c 59a309; 0 0 0
AVD CRC 151fbfa 52661f 598f74; 0 0 0
AVD CRC 153ab09 50b3d2 5b48c4; 0 0 0
AVD CRC 153215d 5106dc 5b0811; 0 0 0
AVD CRC 153b90a 5081c3 5b03f6; 0 0 0
AVD CRC 151e93e 4ffb84 5d1c6e; 0 0 0
AVD CRC 1520a7c 501bfd 5ce8dc; 0 0 0
AVD CRC 14bffc1 4ebb3e 5f2816; 0 0 0
AVD CRC 14c2c07 4eae3c 5efcfe; 0 0 0
AVD CRC 14c2161 4e950d 5f2958; 0 0 0
AVD CRC 14722db 4d5d04 610685; 0 0 0
AVD CRC 1470b76 4d8abe 60f601; 0 0 0
AVD CRC 141660b 4b3474 629742; 0 0 0
AVD CRC 1414f0a 4b44e8 6320c7; 0 0 0
AVD CRC 141d3fc 4d12eb 62a57c; 0 0 0
AVD CRC 139b4d8 499570 63c55c; 0 0 0
AVD CRC 13a1cef 4994ce 63e8b5; 0 0 0
AVD CRC 1350541 45b5ea 647017; 0 0 0
AVD CRC 134e500 45f0ed 6455f3; 0 0 0
AVD CRC 134dcdf 45d55a 644cab; 0 0 0
AVD CRC 13f0624 453d9e 64d3a8; 0 0 0
AVD CRC 13f2400 44d896 6438d2; 0 0 0
AVD CRC 1440ea7 448ee3 6527b6; 0 0 0
AVD CRC 144230b 447526 6553b9; 0 0 0
AVD CRC 144072b 44f481 64c3da; 0 0 0
AVD CRC 14a0e1d 456aab 629535; 0 0 0
AVD CRC 149cbb0 452dd4 626fb7; 0 0 0
AVD CRC 14e552a 4788e6 5e6cf4; 0 0 0
AVD CRC 14e1cfc 47a781 5d43f9; 0 0 0
AVD CRC 14e5760 47813c 5e8a6e; 0 0 0
AVD CRC 14cd2dc 4a25df 5affca; 0 0 0
AVD CRC 14ce1ce 4a491f 5b455d; 0 0 0
AVD CRC 14a8934 4db6c3 579c54; 0 0 0
AVD CRC 14aca03 4e0957 574332; 0 0 0
AVD CRC 14aab9f 4dd240 575834; 0 0 0
AVD CRC 14e52d0 526462 59d0a3; 0 0 0
AVD CRC 14e3752 51fb1f 5a3182; 0 0 0
AVD CRC 15a6a8f 56f365 5a02f4; 0 0 0
AVD CRC 15a35e2 57217d 5aaafd; 0 0 0
AVD CRC 15a2836 5724a3 59c619; 0 0 0
AVD CRC 14ea01a 56f39a 586a00; 0 0 0
AVD CRC 14e9369 570443 588d1a; 0 0 0
AVD CRC 13b862b 53172a 5be56b; 0 0 0
AVD CRC 13b97b1 531cad 5c1526; 0 0 0
AVD CRC 13b4f85 5311a8 5b712e; 0 0 0
AVD CRC 140e63c 49ba4e 5a2a10; 0 0 0
AVD CRC 1410d3a 49ac69 5a62a2; 0 0 0
AVD CRC 1581ea6 46d9f3 5a495b; 0 0 0
AVD CRC 157615b 47077d 5a6d39; 0 0 0
AVD CRC 157ab5f 46d775 5a8697; 0 0 0
AVD CRC 1490d30 41977d 5b2f0e; 0 0 0
AVD CRC 1492f3c 418c21 5ae171; 0 0 0
AVD CRC 1547cc0 428aad 5ff118; 0 0 0
AVD CRC 1549dae 429171 5fee58; 0 0 0
AVD CRC 1548838 42b779 5fff21; 0 0 0
AVD CRC 1502e41 479864 5caf12; 0 0 0
AVD CRC 1501fb4 476b85 5d13e0; 0 0 0
AVD CRC 14ece7a 475bb1 609ca8; 0 0 0
AVD CRC 14e3c4f 4736ed 603a04; 0 0 0
AVD CRC 14e8482 4739f0 608ea7; 0 0 0
AVD CRC 15bd7e3 46d239 6325df; 0 0 0
AVD CRC 15c2594 46e4e3 630460; 0 0 0
AVD CRC 159eecd 47668d 5d5447; 0 0 0
AVD CRC 15a10a6 47271b 5d895a; 0 0 0
AVD CRC 159affb 475f23 5d5ed7; 0 0 0
AVD CRC 1578662 457c2d 6878de; 0 0 0
AVD CRC 1576da0 4551d1 67d30b; 0 0 0
AVD CRC 1575405 46b8dd 6652e6; 0 0 0
AVD CRC 15711ce 46ea29 66c369; 0 0 0
AVD CRC 157460a 46a3a3 66466a; 0 0 0
AVD CRC 1566088 478234 64a4aa; 0 0 0
AVD CRC 1560f20 4758f2 647b68; 0 0 0
AVD CRC 15b4c7a 46d529 648683; 0 0 0
AVD CRC 15b92ef 46e22a 649211; 0 0 0
AVD CRC 15b432b 46c359 64a77a; 0 0 0
AVD CRC 14f40b2 42b800 676ef6; 0 0 0
AVD CRC 14f4df9 42835a 6782da; 0 0 0
AVD CRC 14db05d 3f3894 6a6c0c; 0 0 0
AVD CRC 14ddb33 3f36b1 6a96ef; 0 0 0
AVD CRC 14da2aa 3f57ac 6a6b0c; 0 0 0
AVD CRC 156e7f0 3cf460 6a5ec9; 0 0 0
AVD CRC 1570678 3cb287 6aefc3; 0 0 0
AVD CRC 1537f82 3cec90 6a5c9c; 0 0 0
AVD CRC 15398e2 3cc768 69ba24; 0 0 0
AVD CRC 1539ccd 3cfe88 689291; 0 0 0
AVD CRC 161c0ee 3df711 670f8f; 0 0 0
AVD CRC 16175cd 3dc5a4 6638e7; 0 0 0
AVD CRC 15e1a1b 3d30e9 688fe3; 0 0 0
AVD CRC 15dd97e 3d10ca 682b2e; 0 0 0
AVD CRC 15e548a 3d1e0a 687615; 0 0 0
AVD CRC 1484025 3af58e 6bf1e4; 0 0 0
AVD CRC 1487784 3b336e 6ba333; 0 0 0
AVD CRC 15652fd 40ebef 680ac9; 0 0 0
AVD CRC 1567fd7 40e7a8 67f4b1; 0 0 0
AVD CRC 15633a9 40c5e1 67e683; 0 0 0
AVD CRC 13fa689 4a8aea 5ed282; 0 0 0
AVD CRC 13f8363 4a9b7f 5f50ac; 0 0 0
AVD CRC 152baf0 4cb202 5b2b02; 0 0 0
AVD CRC 152928d 4cc6cd 5b2f6c; 0 0 0
AVD CRC 15296e0 4ccddf 5b30db; 0 0 0
AVD CRC 16e6b1b 50c8dd 564188; 0 0 0
AVD CRC 16e69aa 509657 55f9f9; 0 0 0
AVD CRC 1572a82 4f5ea8 5711e2; 0 0 0
AVD CRC 1570038 4f2739 579d5f; 0 0 0
AVD CRC 156fe2f 4f69fe 572c7b; 0 0 0
AVD CRC 161034e 4f5d54 571891; 0 0 0
AVD CRC 160b3b2 4f3ebd 572cdc; 0 0 0
AVD CRC 1623405 4eaa0e 5b970d; 0 0 0
AVD CRC 1620eb3 4eb566 5bfbc2; 0 0 0
AVD CRC 1622a60 4ea4f8 5b8e0a; 0 0 0
AVD CRC 1475ca8 4ed383 601391; 0 0 0
AVD CRC 14719e6 4e9f3e 605a10; 0 0 0
AVD CRC 14f69e0 4fe562 5a1a83; 0 0 0
AVD CRC 14f9f6a 4ff4a9 59f22c; 0 0 0
AVD CRC 14f265d 4feaea 59cb73; 0 0 0
AVD CRC 15d7506 4e28b6 574ecf; 0 0 0
AVD CRC 15d29aa 4dee6b 578635; 0 0 0
AVD CRC 14e92aa 4a75d4 592a2f; 0 0 0
AVD CRC 14ebd89 4a8f0c 58e0ee; 0 0 0
AVD CRC 14e89cd 4aa0fe 588eff; 0 0 0
AVD CRC 15147be 497dc8 58ef66; 0 0 0
AVD CRC 15113cb 497a81 595cc0; 0 0 0
AVD CRC 1570872 4a333c 54afb6; 0 0 0
AVD CRC 1570a98 4a1e28 54d557; 0 0 0
AVD CRC 156cc01 4a16b2 5491f3; 0 0 0
AVD CRC 14d32a2 49db7f 537f17; 0 0 0
AVD CRC 14d875a 49a513 53968f; 0 0 0
AVD CRC 14a4c8a 48e0fd 508bd2; 0 0 0
AVD CRC 14a2193 4931df 5053b7; 0 0 0
AVD CRC 14a639a 48d220 501309; 0 0 0
AVD CRC 141ef42 492fb3 571615; 0 0 0
AVD CRC 141efe1 48de89 56bc5f; 0 0 0
AVD CRC 1459451 49e0c3 5a5645; 0 0 0
AVD CRC 1458af1 49e7e0 598008; 0 0 0
AVD CRC 145b5cd 49df5c 5b27a7; 0 0 0
AVD CRC 14abaf2 4ca32a 5a03c6; 0 0 0
AVD CRC 14ae44b 4cb9db 5a4038; 0 0 0
AVD CRC 16bada1 4ea6ab 560f9c; 0 0 0
AVD CRC 16b7813 4ebba5 563894; 0 0 0
AVD CRC 16b896e 4e8df6 561bf7; 0 0 0
AVD CRC 169b676 50bcbd 56178c; 0 0 0
AVD CRC 169d8e3 50a991 55f1cb; 0 0 0
AVD CRC 14a391f 520c43 550d99; 0 0 0
AVD CRC 149f2e3 52011c 549895; 0 0 0
AVD CRC 14a310d 51f96b 54bf0c; 0 0 0
AVD CRC 14f249a 5317cd 556b07; 0 0 0
AVD CRC 14f07a8 5324ba 556e17; 0 0 0
AVD CRC 1699e0c 541444 55004c; 0 0 0
AVD CRC 1697b90 5413d8 552dc0; 0 0 0
AVD CRC 16991ac 540f87 5523be; 0 0 0
AVD CRC 17c23c6 53c2f9 556fb0; 0 0 0
AVD CRC 17c0b2c 53c43d 558eb2; 0 0 0
AVD CRC 1632fec 537225 555078; 0 0 0
AVD CRC 163921b 535a01 5559b6; 0 0 0
AVD CRC 16390fe 536f44 554f20; 0 0 0
AVD CRC 141ff78 51b4a3 577c48; 0 0 0
AVD CRC 14176a5 5184a4 575b1b; 0 0 0
AVD CRC 13d7ac5 5189b4 549ff4; 0 0 0
AVD CRC 13d4807 514e13 5461ed; 0 0 0
AVD CRC 13d7d3c 516df5 5445a5; 0 0 0
AVD CRC 1478a3c 51e82f 527f0f; 0 0 0
AVD CRC 147e3e2 51f579 529cf9; 0 0 0
AVD CRC 1538439 52ae10 4fcee7; 0 0 0
AVD CRC 1537536 52be2f 4fb851; 0 0 0
AVD CRC 15381b9 52a367 4fe3d6; 0 0 0
AVD CRC 15e1e2c 51a79a 4d66c1; 0 0 0
AVD CRC 15df372 51be0a 4d6fb4; 0 0 0
AVD CRC 1580d33 4ce601 4e6376; 0 0 0
AVD CRC 1583b1d 4ce92c 4e55e0; 0 0 0
AVD CRC 158165c 4cdefe 4e3472; 0 0 0
AVD CRC 1507171 48935e 4ed769; 0 0 0
AVD CRC 150d431 48b92a 4f4590; 0 0 0
AVD CRC 1525e86 465bda 503d6d; 0 0 0
AVD CRC 1523fa6 467555 4fa9c5; 0 0 0
AVD CRC 15255a9 4697ee 4fd0ae; 0 0 0
AVD CRC 15ae963 46ec5d 4fa633; 0 0 0
AVD CRC 15abe77 471ed0 5067fc; 0 0 0
AVD CRC 15da5ef 490477 4ee939; 0 0 0
AVD CRC 15dba93 491141 4e989b; 0 0 0
AVD CRC 15de39d 49297e 4ea901; 0 0 0
AVD CRC 157d224 4a9b08 4d7e31; 0 0 0
AVD CRC 1579f8d 4abd0f 4d57ea; 0 0 0
AVD CRC 1540622 4b691e 4d2664; 0 0 0
AVD CRC 153f805 4b626b 4d388b; 0 0 0
AVD CRC 153ec0e 4b9705 4ceb19; 0 0 0
AVD CRC 14e3b19 4bf9cd 4bbaf3; 0 0 0
AVD CRC 14e8757 4bdb46 4b95cb; 0 0 0
AVD CRC 146bc65 4c19c0 4e5256; 0 0 0
AVD CRC 146eeda 4becde 4e1c34; 0 0 0
AVD CRC 146cfd7 4c2d83 4e043c; 0 0 0
AVD CRC 1474f5f 4c21a7 4fcb21; 0 0 0
AVD CRC 1478288 4c2b51 4fac60; 0 0 0
AVD CRC 14daf6e 4b31d4 501a31; 0 0 0
AVD CRC 14e0041 4b28dd 5018ab; 0 0 0
AVD CRC 14dba6f 4b4cd0 5054af; 0 0 0
AVD CRC 14e5bbc 49cf67 4f9089; 0 0 0
AVD CRC 14e1138 49cf26 504348; 0 0 0
AVD CRC 14a4853 47d8b9 50518f; 0 0 0
AVD CRC 14a6507 4786d9 511040; 0 0 0
AVD CRC 14a3305 479648 50bc04; 0 0 0
AVD CRC 14e9c85 4656d7 5174f9; 0 0 0
AVD CRC 14ee5eb 462256 50fe3d; 0 0 0
AVD CRC 14fa425 4500a4 531edf; 0 0 0
AVD CRC 14fa634 44c9cc 531914; 0 0 0
AVD CRC 14f98c9 44e207 52f057; 0 0 0
AVD CRC 1503956 439694 552ff4; 0 0 0
AVD CRC 150155c 439439 54ef73; 0 0 0
AVD CRC 151053e 428740 57ca5b; 0 0 0
AVD CRC 1513051 42590f 57d8e6; 0 0 0
AVD CRC 1513a66 42921b 57f19f; 0 0 0
AVD CRC 1545242 415b9d 5a53e8; 0 0 0
AVD CRC 154a799 413eeb 5a78be; 0 0 0
AVD CRC 157ec82 4044f2 5bc480; 0 0 0
AVD CRC 1581aff 40674f 5ba964; 0 0 0
AVD CRC 158172d 408deb 5c09f8; 0 0 0
AVD CRC 15866bc 40f3ea 5c39ba; 0 0 0
AVD CRC 1588bdf 410dfc 5bfabc; 0 0 0
AVD CRC 15b4f49 417645 5d28b3; 0 0 0
AVD CRC 15b00c1 41b23f 5ceb77; 0 0 0
AVD CRC 15b3824 41cb75 5d56ba; 0 0 0
AVD CRC 14fc248 526e85 58d308; 0 0 0
AVD CRC 14fc6da 5241fc 589b09; 0 0 0
AVD CRC 150bc43 525ef7 5dffbe; 0 0 0
AVD CRC 150cca4 5269d4 5e108f; 0 0 0
AVD CRC 150e996 52544e 5dbacf; 0 0 0
AVD CRC 14ff0dc 4ab9e3 5ef2c2; 0 0 0
AVD CRC 150029e 4ba677 5e9bdd; 0 0 0
AVD CRC 14c74e7 42b656 598e9d; 0 0 0
AVD CRC 14c680a 429e87 593fd3; 0 0 0
AVD CRC 14c71c4 438c03 598a6b; 0 0 0
AVD CRC 1469718 43fa61 5adc4f; 0 0 0
AVD CRC 146a528 442b9b 5aca98; 0 0 0
AVD CRC 149307c 444f87 5b7c7a; 0 0 0
AVD CRC 14953d1 449ec6 5ad2f7; 0 0 0
AVD CRC 1491f2e 442805 5b2951; 0 0 0
AVD CRC 154c898 4c8c60 57a5af; 0 0 0
AVD CRC 154bcc1 4d5734 56b9ab; 0 0 0
AVD CRC 14aa608 532980 5424cb; 0 0 0
AVD CRC 14a78f8 52a618 54336b; 0 0 0
AVD CRC 14aa756 52aaf8 53fa02; 0 0 0
AVD CRC 14c675e 52ce8f 4f6643; 0 0 0
AVD CRC 14c6f62 5382ee 5029c3; 0 0 0
AVD CRC 14bcb1e 544a57 438e94; 0 0 0
AVD CRC 14bd16a 5432ce 43ae84; 0 0 0
AVD CRC 14bc617 543ac5 439cdf; 0 0 0
AVD CRC 14abf09 50c339 426149; 0 0 0
AVD CRC 14abed5 5106f4 420a19; 0 0 0
AVD CRC 14958a9 4c4e28 457f41; 0 0 0
AVD CRC 148b1dc 4c4fd0 4526d8; 0 0 0
AVD CRC 1493945 4c360c 453b92; 0 0 0
AVD CRC 15217c0 466f58 4a1cfd; 0 0 0
AVD CRC 151da52 4648a0 49b33a; 0 0 0
AVD CRC 152768d 44b83e 4fd087; 0 0 0
AVD CRC 1527d8c 44b335 4f87ed; 0 0 0
AVD CRC 1528b2b 44a3fc 4fbe72; 0 0 0
AVD CRC 153c867 41aa30 4efd22; 0 0 0
AVD CRC 153d04c 41f116 4f0c5b; 0 0 0
AVD CRC 1594905 41b6e5 4b4c27; 0 0 0
AVD CRC 15ae304 41496e 4c0080; 0 0 0
AVD CRC 1593fee 41c9c7 4b6136; 0 0 0
AVD CRC 1533629 45fd3a 55e74e; 0 0 0
AVD CRC 1535edf 45eaf4 55eb8f; 0 0 0
AVD CRC 1417ed7 4776fb 601045; 0 0 0
AVD CRC 1417c4e 479e0d 6008c0; 0 0 0
AVD CRC 1419422 479f62 600415; 0 0 0
AVD CRC 14fc4a5 41f66e 586880; 0 0 0
AVD CRC 15064a4 41979f 58db0f; 0 0 0
AVD CRC 1637fad 43236c 59ef4a; 0 0 0
AVD CRC 1639f5d 43b2be 5a7b5c; 0 0 0
AVD CRC 1632e3f 436814 5ad9e4; 0 0 0
AVD CRC 14d3b4e 46185d 5ff18f; 0 0 0
AVD CRC 14cb9fd 460b8f 603e1f; 0 0 0
AVD CRC 14d016a 47c75f 61e21e; 0 0 0
AVD CRC 14cff0d 480fc4 61f325; 0 0 0
AVD CRC 14d188f 47eb9f 61fa9f; 0 0 0
AVD CRC 15862e9 50bb1b 5c1996; 0 0 0
AVD CRC 1586a13 50abf3 5be59e; 0 0 0
AVD CRC 1502ad4 502a58 5ba750; 0 0 0
AVD CRC 14ff853 507685 5bacce; 0 0 0
AVD CRC 1504734 50692c 5baa58; 0 0 0
AVD CRC 147cd72 4f0052 5c2958; 0 0 0
AVD CRC 147fcbe 4f5aba 5bc850; 0 0 0
AVD CRC 1460a59 51a890 5888ac; 0 0 0
AVD CRC 1460a29 51ebe8 586f6d; 0 0 0
AVD CRC 14603df 5189bc 5882ca; 0 0 0
AVD CRC 13f734c 55bd14 53e006; 0 0 0
AVD CRC 13f2f42 556ded 54199a; 0 0 0
AVD CRC 1549663 4f54c8 5745ad; 0 0 0
AVD CRC 154b56e 4f585a 56cf91; 0 0 0
AVD CRC 154be40 4f787c 566c02; 0 0 0
AVD CRC 14613dc 4991c1 5e9415; 0 0 0
AVD CRC 1461e61 49abf9 5e9d7d; 0 0 0
AVD CRC 15d8ee0 47bf44 5e01cb; 0 0 0
AVD CRC 15dc457 4781ee 5e11b2; 0 0 0
AVD CRC 15d7d01 47cc0e 5e0639; 0 0 0
AVD CRC 15b4a09 487697 5fd1ac; 0 0 0
AVD CRC 15a8943 486107 5fc531; 0 0 0
AVD CRC 1454c9c 4a134b 57740c; 0 0 0
AVD CRC 1457847 49eb56 57605c; 0 0 0
AVD CRC 145694e 4a5df5 576e06; 0 0 0
AVD CRC 1521e7e 49c5e6 4de0e2; 0 0 0
AVD CRC 1524c9b 49fb2b 4d7a72; 0 0 0
AVD CRC 154e03d 499561 4feb3e; 0 0 0
AVD CRC 154f6f9 4960c3 4fa54c; 0 0 0
AVD CRC 154d4a9 497515 50055c; 0 0 0
AVD CRC 167884c 4b1f57 55f5ce; 0 0 0
AVD CRC 1673dd8 4a9c34 5636f8; 0 0 0
AVD CRC 1427185 4e6243 4dbc2e; 0 0 0
AVD CRC 1427088 4e2790 4e4884; 0 0 0
AVD CRC 1428853 4e56c4 4e1ac1; 0 0 0
AVD CRC 1540e98 580019 3b9d75; 0 0 0
AVD CRC 1544ffa 57f1c1 3bf6a8; 0 0 0
AVD CRC 153cb1e 592eec 42e063; 0 0 0
AVD CRC 153e0a4 591b5f 4302f7; 0 0 0
AVD CRC 153f9a5 591a5e 431420; 0 0 0
AVD CRC 1508168 46ce38 512686; 0 0 0
AVD CRC 1512c66 465916 510afb; 0 0 0
AVD CRC 15a8362 49d1aa 4d066a; 0 0 0
AVD CRC 15a2f03 4a1954 4d073c; 0 0 0
AVD CRC 15ab786 49c950 4d12b8; 0 0 0
AVD CRC 159e079 497dcb 4eeb8b; 0 0 0
AVD CRC 1597b97 49b3d2 4ee178; 0 0 0
AVD CRC 14dad2d 461c1a 4f3435; 0 0 0
AVD CRC 14da9ef 45e72d 4efd56; 0 0 0
AVD CRC 14dad6d 464612 4f51ed; 0 0 0
AVD CRC 14df3bd 44c72c 4e82cf; 0 0 0
AVD CRC 14e2469 447884 4f9282; 0 0 0
AVD CRC 1536187 455d35 4bf81b; 0 0 0
AVD CRC 152fa23 453378 4b6085; 0 0 0
AVD CRC 153256a 4591ad 4ba02d; 0 0 0
AVD CRC 150a8bc 45d7d3 47829a; 0 0 0
AVD CRC 1509146 45d125 4783f2; 0 0 0
AVD CRC 14ecc90 470a9a 4b37d6; 0 0 0
AVD CRC 14f13b7 468e8a 4b5790; 0 0 0
AVD CRC 14eccf0 46d516 4b49ac; 0 0 0
AVD CRC 1501741 47e25d 4f5533; 0 0 0
AVD CRC 14fb002 47cc1b 4f36bd; 0 0 0
AVD CRC 151a2c9 4831bc 51b1bf; 0 0 0
AVD CRC 1519c21 47f4a3 51e344; 0 0 0
AVD CRC 1518686 484a9d 51a979; 0 0 0
AVD CRC 1532ad6 472a31 531ea1; 0 0 0
AVD CRC 153716e 47d3cc 535046; 0 0 0
AVD CRC 152c1a9 462d0e 543722; 0 0 0
AVD CRC 152c4a9 46299f 5457a5; 0 0 0
AVD CRC 1527576 463adb 54033c; 0 0 0
