video protocol: H265
revision all
AVD CRC 3eeefc54 faf1cbb fcbef81; 0 0 0
AVD CRC 3f00f296 fb42f72 ff25477; 0 0 0
AVD CRC 3f13bb53 fb6699c ff24e28; 0 0 0
AVD CRC 3f1d9bd4 fb7ce8c ff30f47; 0 0 0
AVD CRC 3f27e6b2 fb80654 ff4389e; 0 0 0
AVD CRC 3f3852b4 fb6d262 ff5fefc; 0 0 0
AVD CRC 3f3886be fb33365 ff678d5; 0 0 0
AVD CRC 3f4181be fb17157 ff694d1; 0 0 0
AVD CRC 3f48d9b0 fb0a268 ff5e7dc; 0 0 0
AVD CRC 3f45b261 fae167e ff48d67; 0 0 0
AVD CRC 3f3a27ba fac1849 ff289c5; 0 0 0
AVD CRC 3f241d7a fae6d3e fefa704; 0 0 0
AVD CRC 3f1ebb93 fac111b fefcb2a; 0 0 0
AVD CRC 3f2953cb fa8ab18 ff0c1d5; 0 0 0
AVD CRC 3f3d8cb6 fa3d13f ff4a31d; 0 0 0
AVD CRC 3f2eb5bc fa12e98 ff6d88d; 0 0 0
AVD CRC 3f29c8ca fa369d9 ff2e3b7; 0 0 0
AVD CRC 3f4b900a fb22419 fec15d6; 0 0 0
AVD CRC 3f60dc4b fc14623 fe80e83; 0 0 0
AVD CRC 3f4be797 fc4b7ca fe5d3cf; 0 0 0
AVD CRC 3f52e8d9 fc59a50 feba8f2; 0 0 0
AVD CRC 3f5fbb6f fc66d51 ff1c01f; 0 0 0
AVD CRC 3f657f83 fc49344 fefbba7; 0 0 0
AVD CRC 3f57c2e2 fc253df fe89a66; 0 0 0
AVD CRC 3f48c45f fc021ac fe2f02a; 0 0 0
AVD CRC 3f45f577 fc0a688 fde7de5; 0 0 0
AVD CRC 3f42a73b fc0ed7c fdd4f3c; 0 0 0
AVD CRC 3f3e7320 fc0726e fdc8eae; 0 0 0
AVD CRC 3f3a04f9 fc08efd fdbcfa0; 0 0 0
AVD CRC 3f36939c fc162c9 fdb5d49; 0 0 0
AVD CRC 3f347ae0 fc26f04 fda4268; 0 0 0
AVD CRC 3f33a365 fc33d96 fd94cf2; 0 0 0
AVD CRC 3f3123de fc336ed fd949ed; 0 0 0
AVD CRC 3f31c40e fc39aa7 fd93d59; 0 0 0
AVD CRC 3f3299dc fc3c647 fd9403e; 0 0 0
AVD CRC 3f328048 fc3ab27 fd9270c; 0 0 0
AVD CRC 3f325276 fc3dac5 fd90aa8; 0 0 0
AVD CRC 3f32f0d8 fc3bdb2 fd923bd; 0 0 0
AVD CRC 3f323d81 fc3c78c fd923b6; 0 0 0
AVD CRC 3f319e51 fc3df02 fd90c3e; 0 0 0
AVD CRC 3f30aadc fc3db70 fd9097f; 0 0 0
AVD CRC 3f2fbf16 fc3cbf2 fd8ff5d; 0 0 0
AVD CRC 3f2eb970 fc3c764 fd8ea11; 0 0 0
AVD CRC 3f2eb0c3 fc3b041 fd8f39c; 0 0 0
AVD CRC 3f2dc285 fc385cf fd8f07e; 0 0 0
AVD CRC 3f2d06f3 fc34d9e fd8f998; 0 0 0
AVD CRC 3f2bc55c fc371d2 fd90a26; 0 0 0
AVD CRC 3f2b2797 fc35a59 fd915cd; 0 0 0
AVD CRC 3f2b0d7c fc37210 fd92c1d; 0 0 0
AVD CRC 3f29a0c2 fc37142 fd93720; 0 0 0
AVD CRC 3f287e17 fc3884e fd96df9; 0 0 0
AVD CRC 3f271a46 fc3d7a5 fd94c94; 0 0 0
AVD CRC 3f268bb2 fc37e01 fd98942; 0 0 0
AVD CRC 3f260541 fc240e1 fda0b7f; 0 0 0
AVD CRC 3f233a61 fc2f346 fda71f7; 0 0 0
AVD CRC 3f2636a1 fc56808 fdeee18; 0 0 0
AVD CRC 3f308ccd fc4e8d0 fe1c121; 0 0 0
AVD CRC 3f35e31c fc50f87 fe2516e; 0 0 0
AVD CRC 3f38f892 fc156ad fe3ca9a; 0 0 0
AVD CRC 3f3ede81 fbf3d47 fe557c8; 0 0 0
AVD CRC 3f37c5bc fbc4c8b fe80386; 0 0 0
AVD CRC 3f4067e3 fb76141 feb8b3c; 0 0 0
AVD CRC 3f3a91f7 fb3fc34 fec8e44; 0 0 0
AVD CRC 3f3e89cd fb151a3 fec265d; 0 0 0
AVD CRC 3f43ba13 faf02ce fec115c; 0 0 0
AVD CRC 3f3fe29a fae0adb fecabe4; 0 0 0
AVD CRC 3f3a0710 fad8ae4 fecc4bd; 0 0 0
AVD CRC 3f39244d fadc362 fec8aa9; 0 0 0
AVD CRC 3f35619d fae0aad fec7adc; 0 0 0
AVD CRC 3f32db6c fae8826 fec7b59; 0 0 0
AVD CRC 3f313e26 fae8956 fec47e5; 0 0 0
AVD CRC 3f2fbf1c fae894b fec12b2; 0 0 0
AVD CRC 3f2e91d1 fae9bfb fec1af4; 0 0 0
AVD CRC 3f2ce801 faecca6 fec04cc; 0 0 0
AVD CRC 3f2b5cb8 faf22d1 fec1087; 0 0 0
AVD CRC 3f2a7d22 faef5f5 fec0dd3; 0 0 0
AVD CRC 3f293ec6 faed37a fec1133; 0 0 0
AVD CRC 3f292233 faeb36a fec0f14; 0 0 0
AVD CRC 3f28cfac faecf16 fec22e7; 0 0 0
AVD CRC 3f282173 fae67c0 fec44c8; 0 0 0
AVD CRC 3f2e4452 fadbb80 fec99de; 0 0 0
AVD CRC 3f3f0d68 fad5e94 febcf9f; 0 0 0
AVD CRC 3f43a882 fae4122 fec8050; 0 0 0
AVD CRC 3f372d4c faf8b51 feda89a; 0 0 0
AVD CRC 3f2ad047 faa3058 fee3234; 0 0 0
AVD CRC 3f2aeacc fa5aff0 feebedb; 0 0 0
AVD CRC 3f3b589c fa5ef0b fedbf01; 0 0 0
AVD CRC 3f4a8def fa76474 fed3db0; 0 0 0
AVD CRC 3f41857b fa88d68 fed4052; 0 0 0
AVD CRC 3f3d7772 fa8305b fed77c0; 0 0 0
AVD CRC 3f3abe7c fa67577 fed5a70; 0 0 0
AVD CRC 3f35732c fa6e565 fec5fef; 0 0 0
AVD CRC 3f1e8d9d fa7f506 febcb28; 0 0 0
AVD CRC 3f0dafbd fa7f38a feb01b2; 0 0 0
AVD CRC 3f09b602 fa78744 fea8be5; 0 0 0
AVD CRC 3f09f559 fa7284e fe961f1; 0 0 0
AVD CRC 3f08c5f5 fa69c80 fe89150; 0 0 0
AVD CRC 3f081e4b fa7e6b4 fe6b464; 0 0 0
AVD CRC 3f1143fe fab94b3 fe63551; 0 0 0
AVD CRC 3f1bd043 fb42271 fe41984; 0 0 0
AVD CRC 3f226179 fb31f46 fe2ff12; 0 0 0
AVD CRC 3f2ebaeb fb64b47 fe2b8da; 0 0 0
AVD CRC 3f292fff fbbfdb0 fe07dcb; 0 0 0
AVD CRC 3f2934d0 fb58039 fde7679; 0 0 0
AVD CRC 3ef99405 fb26096 fdea4f2; 0 0 0
AVD CRC 3eee1a68 fb850a9 fd8b243; 0 0 0
AVD CRC 3efba941 fb1060d fd3011e; 0 0 0
AVD CRC 3f0b2f3d fb1257c fd0df49; 0 0 0
AVD CRC 3f2907f3 fb86390 fcba945; 0 0 0
AVD CRC 3f346440 fc113d0 fc55959; 0 0 0
AVD CRC 3f0e4d62 fc48466 fc36b7a; 0 0 0
AVD CRC 3ef6ea07 fc47f2e fc747e8; 0 0 0
AVD CRC 3ef90e56 fc5c53a fc87130; 0 0 0
AVD CRC 3f039109 fc5b9f1 fc80bea; 0 0 0
AVD CRC 3f0a3eb1 fc6cbfb fc7e535; 0 0 0
AVD CRC 3f0f9141 fc72b3f fc80f68; 0 0 0
AVD CRC 3f13dfa0 fc85bf8 fc82a19; 0 0 0
AVD CRC 3f160db2 fc91035 fc84605; 0 0 0
AVD CRC 3f174f38 fca9aa8 fc86a55; 0 0 0
AVD CRC 3f181f15 fcb7066 fc84010; 0 0 0
AVD CRC 3f1b628e fcbeb33 fc88ec9; 0 0 0
AVD CRC 3f1b526c fcb9ee1 fc874fb; 0 0 0
AVD CRC 3f17835a fcb21b6 fc85b7b; 0 0 0
AVD CRC 3f1508b0 fcae6fb fc83952; 0 0 0
AVD CRC 3f13c2bb fca9b66 fc85b77; 0 0 0
AVD CRC 3f136d30 fca69c6 fc8358c; 0 0 0
AVD CRC 3f11af4c fca3dc2 fc84aa8; 0 0 0
AVD CRC 3f1091a2 fca2a89 fc85633; 0 0 0
AVD CRC 3f0fb75e fca25df fc85739; 0 0 0
AVD CRC 3f0fbb39 fca15ea fc84fa6; 0 0 0
AVD CRC 3f0edbcf fca2db1 fc8557d; 0 0 0
AVD CRC 3f0e9ad7 fca337c fc85b0d; 0 0 0
AVD CRC 3f0e8fe6 fca2c87 fc862ad; 0 0 0
AVD CRC 3f0ea684 fca3145 fc86ba4; 0 0 0
AVD CRC 3f0f3ddf fca3410 fc8714a; 0 0 0
AVD CRC 3ef60dcc fad8626 fc36f90; 0 0 0
AVD CRC 3ef5c07e fad4f9f fc39019; 0 0 0
AVD CRC 3ef55096 fad5064 fc3977e; 0 0 0
AVD CRC 3ef59650 fad5487 fc39e2b; 0 0 0
AVD CRC 3ef4d2f2 fad5e4e fc38b77; 0 0 0
AVD CRC 3ef3c519 faea606 fc41ead; 0 0 0
AVD CRC 3ef32d9f fae8e2e fc41903; 0 0 0
AVD CRC 3ef308f8 fae9d69 fc41b7e; 0 0 0
AVD CRC 3ef34ab6 fae8cb4 fc4082a; 0 0 0
AVD CRC 3ef2e056 fae912d fc40fc5; 0 0 0
AVD CRC 3ef312ef fae87fe fc403f7; 0 0 0
AVD CRC 3ef36a25 fae8c9c fc40543; 0 0 0
AVD CRC 3ef259d5 fae970c fc3f4e6; 0 0 0
AVD CRC 3ef4fd64 fb03013 fc345ec; 0 0 0
AVD CRC 3ef12b0d fb472bd fbff31d; 0 0 0
AVD CRC 3ee7ca53 fb8797a fba4917; 0 0 0
AVD CRC 3eeb471d fbaeb5e fb63603; 0 0 0
AVD CRC 3eeb1301 fbaeaf2 fb6311b; 0 0 0
AVD CRC 3eed4d2e fb956f4 fb78701; 0 0 0
AVD CRC 3eed7eeb fb6751a fbc91d4; 0 0 0
AVD CRC 3ee9dbf8 fb266a1 fc17163; 0 0 0
AVD CRC 3ee8da9e faedf39 fbb77b5; 0 0 0
AVD CRC 3ef48525 fb9cb86 fad5eb5; 0 0 0
AVD CRC 3ef4d07a fbebbdf fab40a8; 0 0 0
AVD CRC 3f017857 fb5ddbb fb0e4f6; 0 0 0
AVD CRC 3effa1ee fb3de13 fb2f88d; 0 0 0
AVD CRC 3eff896c fb47a80 fb2e98c; 0 0 0
AVD CRC 3f01c44d fb4b942 fb33e72; 0 0 0
AVD CRC 3f0a4339 fb5ba3c fb26561; 0 0 0
AVD CRC 3f0cd5a9 fb6f88b fb13a07; 0 0 0
AVD CRC 3f0e0295 fbab266 fae96e4; 0 0 0
AVD CRC 3f0c8e78 fbc66a2 facdaa3; 0 0 0
AVD CRC 3f0c59da fbc6587 fad3ab9; 0 0 0
AVD CRC 3f0d2713 fbb7a37 fae0d96; 0 0 0
AVD CRC 3f0c6f10 fbaa999 faef586; 0 0 0
AVD CRC 3f0c23bc fba0b02 fafa111; 0 0 0
AVD CRC 3f0b61ac fb97298 fb0057c; 0 0 0
AVD CRC 3f0b40c4 fb9779b fb00bb8; 0 0 0
AVD CRC 3f0b1b6b fb96ef1 faffb2a; 0 0 0
AVD CRC 3f0adec3 fb96bdc fafe60a; 0 0 0
AVD CRC 3f0b6599 fb972ca fafe646; 0 0 0
AVD CRC 3f0b7dd9 fb97ccf faff5ce; 0 0 0
AVD CRC 3f0b2fb6 fb97781 fafdec0; 0 0 0
AVD CRC 3f0b1a1f fb97c7b fafdd69; 0 0 0
AVD CRC 3f0a5d1c fb974ac fafd9f8; 0 0 0
AVD CRC 3f0a74d1 fb965b5 fafe066; 0 0 0
AVD CRC 3f0a43dc fb95cc2 fafd928; 0 0 0
AVD CRC 3f09bce5 fb944a3 fafe6d6; 0 0 0
AVD CRC 3f0923cf fb94410 fb00057; 0 0 0
AVD CRC 3f0906fe fb9288d faff503; 0 0 0
AVD CRC 3f08e41e fb938b4 faff320; 0 0 0
AVD CRC 3f088168 fb91b4a fafd14f; 0 0 0
AVD CRC 3f08728a fb90f34 fafec3b; 0 0 0
AVD CRC 3f04b0de fb92bfc fafb44c; 0 0 0
AVD CRC 3efb0732 fb98528 faf68f4; 0 0 0
AVD CRC 3eeb937f fba030d faee521; 0 0 0
AVD CRC 3eddc199 fbaba6f faf06dd; 0 0 0
AVD CRC 3ed80aba fbb5b68 fb00107; 0 0 0
AVD CRC 3ed3aa98 fbb39d5 fb4e69b; 0 0 0
AVD CRC 3ed3c748 fb6fc9c fc01185; 0 0 0
AVD CRC 3edc38b4 fb41450 fcc73ea; 0 0 0
AVD CRC 3efa8c3e fb49790 fd4ea1d; 0 0 0
AVD CRC 3f0aeff6 fb5d106 fd897b6; 0 0 0
AVD CRC 3f131a46 fb6a3fd fdacb1a; 0 0 0
AVD CRC 3f0cc44d fb79f22 fdc8f43; 0 0 0
AVD CRC 3f0a0af9 fb8c10d fdc690c; 0 0 0
AVD CRC 3f0a1190 fb99099 fdc4e6c; 0 0 0
AVD CRC 3f10c499 fbac8b7 fdbd4df; 0 0 0
AVD CRC 3f1c20fa fbd47ae fdc51b9; 0 0 0
AVD CRC 3f1cf401 fbdfb00 fdceb36; 0 0 0
AVD CRC 3f1aaf9e fbe8572 fdc9d4b; 0 0 0
AVD CRC 3f1abca9 fbe2d3a fdc51f4; 0 0 0
AVD CRC 3f21d010 fbd2033 fdc3a15; 0 0 0
AVD CRC 3f1d135e fbbe6ea fdc5bf1; 0 0 0
AVD CRC 3f15a626 fbb2f40 fdbe39b; 0 0 0
AVD CRC 3f107f87 fba5a68 fdb016b; 0 0 0
AVD CRC 3f0af081 fb9c931 fda4109; 0 0 0
AVD CRC 3f064972 fb9b7e7 fd834c3; 0 0 0
AVD CRC 3f0706a0 fb9ca0f fd6e35f; 0 0 0
AVD CRC 3f075c56 fb9d19c fd5a8c3; 0 0 0
AVD CRC 3f083ed9 fb98794 fd4a6b4; 0 0 0
AVD CRC 3f0a4209 fb99384 fd473cc; 0 0 0
AVD CRC 3f0b51db fb9deb6 fd4bf91; 0 0 0
AVD CRC 3f0bd9ea fb9f17a fd526de; 0 0 0
AVD CRC 3f0d7e31 fba2c70 fd55bfb; 0 0 0
AVD CRC 3f0da9ba fba01fe fd54243; 0 0 0
AVD CRC 3f0f81ee fba6c15 fd4da3c; 0 0 0
AVD CRC 3f1154e5 fba4303 fd4aaa0; 0 0 0
AVD CRC 3f11fdd1 fba6e7d fd48184; 0 0 0
AVD CRC 3f132f3c fba828c fd43748; 0 0 0
AVD CRC 3f145406 fbabed0 fd4302f; 0 0 0
AVD CRC 3f14788d fbaee5b fd3fa1e; 0 0 0
AVD CRC 3f14f2e3 fbb1b32 fd34773; 0 0 0
AVD CRC 3f1584ee fbb2d09 fd29e79; 0 0 0
AVD CRC 3f14ec5b fbb885f fd29fba; 0 0 0
AVD CRC 3f158089 fbbb817 fd2807d; 0 0 0
AVD CRC 3f14bf6d fbbde21 fd23ccf; 0 0 0
AVD CRC 3f16efb4 fbbd488 fd23320; 0 0 0
AVD CRC 3f1746e1 fbbbdbe fd22bac; 0 0 0
AVD CRC 3f177666 fbbb692 fd20204; 0 0 0
AVD CRC 3f17f869 fbb8178 fd1adc3; 0 0 0
AVD CRC 3f18830b fbb53f4 fd197ae; 0 0 0
AVD CRC 3f1a80c2 fbb2620 fd1478a; 0 0 0
AVD CRC 3f1a9746 fbb12a2 fd100ea; 0 0 0
AVD CRC 3f1c3f22 fbaebcf fd1043f; 0 0 0
AVD CRC 3f1c2845 fbad258 fd08f29; 0 0 0
AVD CRC 3f1bef22 fbad9bf fcfeea9; 0 0 0
AVD CRC 3f087243 fcf4d57 fcb17cb; 0 0 0
AVD CRC 3f07ee9c fcf5063 fcb1344; 0 0 0
AVD CRC 3f07809e fcf5038 fcaf665; 0 0 0
AVD CRC 3f070d98 fcf58c8 fcac808; 0 0 0
AVD CRC 3f078de3 fcf445f fcab5bb; 0 0 0
AVD CRC 3f07e7a5 fcfe2be fca5478; 0 0 0
AVD CRC 3f089fc5 fcecb26 fca0458; 0 0 0
AVD CRC 3f087a20 fceebd7 fc9ef07; 0 0 0
AVD CRC 3f082f94 fcedd3f fc9cd0c; 0 0 0
AVD CRC 3f07f8d4 fcf3d17 fc9814c; 0 0 0
AVD CRC 3f083d0a fcf3ef5 fc93485; 0 0 0
AVD CRC 3f085888 fcf6d2c fc8df2a; 0 0 0
AVD CRC 3f08e866 fcf9625 fc8a8fa; 0 0 0
AVD CRC 3f0946d6 fcfd83e fc85fb9; 0 0 0
AVD CRC 3f09eb97 fcfff54 fc83400; 0 0 0
AVD CRC 3f0aad09 fd049e7 fc7dc4f; 0 0 0
AVD CRC 3f0c3c4b fd07fde fc7adf4; 0 0 0
AVD CRC 3f0d67e6 fd0a0af fc77596; 0 0 0
AVD CRC 3f0ea311 fcf0e55 fc74b69; 0 0 0
AVD CRC 3f0f2522 fcf474f fc77010; 0 0 0
AVD CRC 3f0f6130 fcf65be fc74058; 0 0 0
AVD CRC 3f10259c fcfa5d5 fc722e8; 0 0 0
AVD CRC 3f0f6291 fcf932e fc700fb; 0 0 0
AVD CRC 3f0f36db fcfa2a6 fc6daab; 0 0 0
AVD CRC 3f105389 fd04838 fc6c1ce; 0 0 0
AVD CRC 3f0ef8e9 fd0285f fc64fbe; 0 0 0
AVD CRC 3f19b265 fd5bb78 fc29249; 0 0 0
AVD CRC 3f025082 fdc0d5b fbf2474; 0 0 0
AVD CRC 3ef6f67e fdd0b0d fc04339; 0 0 0
AVD CRC 3ee72a9a fdc9581 fc06974; 0 0 0
AVD CRC 3ef3811d fdc6fcb fc09a06; 0 0 0
AVD CRC 3effa34e fda0bea fc108a4; 0 0 0
AVD CRC 3efbcbd6 fd7f0ce fc2ab5f; 0 0 0
AVD CRC 3f13e03a fd2b51c fc323d9; 0 0 0
AVD CRC 3f13e480 fcf2e7e fc46f5b; 0 0 0
AVD CRC 3f17e255 fcce673 fc629d6; 0 0 0
AVD CRC 3f18f8eb fca616f fc70961; 0 0 0
AVD CRC 3f19f2f4 fc93f41 fc62577; 0 0 0
AVD CRC 3f218a32 fc7c997 fc749d7; 0 0 0
AVD CRC 3f1f1f5b fc7573b fc7a6ba; 0 0 0
AVD CRC 3f1c25c7 fc76ed2 fc777b2; 0 0 0
AVD CRC 3f1aa842 fc76b5e fc79358; 0 0 0
AVD CRC 3f1b309a fc73ace fc78e5c; 0 0 0
AVD CRC 3f1d4d56 fc72a3f fc792b6; 0 0 0
AVD CRC 3f1ced9b fc71c91 fc7add8; 0 0 0
AVD CRC 3f1d0b09 fc75c29 fc79603; 0 0 0
AVD CRC 3f1e8dfa fc7475c fc7b389; 0 0 0
AVD CRC 3f1e6c9e fc746c1 fc7b733; 0 0 0
AVD CRC 3f1d9fcb fc77b30 fc795ce; 0 0 0
AVD CRC 3f1dbb45 fc7c228 fc795d2; 0 0 0
AVD CRC 3f1f08ac fc7cbc3 fc78fb5; 0 0 0
AVD CRC 3f2196dd fc7f563 fc7c5f1; 0 0 0
AVD CRC 3f21bb99 fc81f8b fc79e75; 0 0 0
AVD CRC 3f1b8f2d fc76ced fc4c390; 0 0 0
AVD CRC 3f21d48a fc27dbd fc29a8b; 0 0 0
AVD CRC 3f3b0ddc fbd1d16 fc55078; 0 0 0
AVD CRC 3f5fce91 fb79606 fcbc33c; 0 0 0
AVD CRC 3f4e5d17 fb3bc7d fce47db; 0 0 0
AVD CRC 3f39a2c3 fb46ae3 fcded33; 0 0 0
AVD CRC 3f34e3dd fb3d104 fcb9747; 0 0 0
AVD CRC 3f21a545 fb80592 fcc3a1d; 0 0 0
AVD CRC 3f20f262 fb9b86b fd19a47; 0 0 0
AVD CRC 3f289627 fabce98 fd86130; 0 0 0
AVD CRC 3f20e59f fb00838 fd74815; 0 0 0
AVD CRC 3f0a9693 faf3cac fd3b494; 0 0 0
AVD CRC 3f0b00a9 fad6314 fd643ef; 0 0 0
AVD CRC 3f1728d1 faa9a7b fd55615; 0 0 0
AVD CRC 3f1be4c8 fa6e927 fd2feec; 0 0 0
AVD CRC 3f28fd0f fa3e55f fd35a4a; 0 0 0
AVD CRC 3f2a31dc fa1f478 fd4804d; 0 0 0
AVD CRC 3f24ea3e f9ef852 fd54615; 0 0 0
AVD CRC 3f130a6e fa01b23 fd4d1f7; 0 0 0
AVD CRC 3f2ad286 fa45ef6 fd57724; 0 0 0
AVD CRC 3f412333 fa598f4 fd36c3e; 0 0 0
AVD CRC 3f43942a fa39c2b fd2e563; 0 0 0
AVD CRC 3f3f51f2 f8f32e7 fcfa094; 0 0 0
AVD CRC 3f387f20 f9191fd fcbfd47; 0 0 0
AVD CRC 3f5784e4 f8b673e fc20ff6; 0 0 0
AVD CRC 3f61cce7 f83761e fc998c1; 0 0 0
AVD CRC 3f64bd65 f867838 fd792d7; 0 0 0
AVD CRC 3f3fad30 f88276f fc662d2; 0 0 0
AVD CRC 3f3939da f8d16fc fcec0d8; 0 0 0
AVD CRC 3f2af3de f8043a4 fd0761b; 0 0 0
AVD CRC 3f4037aa f9175fc fd3caad; 0 0 0
