video protocol: VC1
revision all
AVD CRC 34f869a c96cdbc7 82d6141a; 0 0 0
AVD CRC d77be731 f8ecd47d d1aa3eaf; 0 0 0
AVD CRC 60c8f5d8 de6a1909 a6aa2aa8; 0 0 0
AVD CRC 207002cf d11fa299 cfcf93fa; 0 0 0
AVD CRC 610e58ac ee5ff059 bf5f7cee; 0 0 0
AVD CRC 4d9618d4 42b177f3 42c5a155; 0 0 0
AVD CRC 11aabdcf 119349bc a5459d6d; 0 0 0
AVD CRC a04c5455 61817be8 eb2e96e9; 0 0 0
AVD CRC ca4fb9d7 26e9d348 db0c8d64; 0 0 0
AVD CRC 45d6318 ddcbb1bb ec93d0df; 0 0 0
AVD CRC 609c8c47 96105e65 922ca64a; 0 0 0
AVD CRC 90c2cc30 82d4f7c1 4287d752; 0 0 0
AVD CRC 1cdd2836 a4b669a2 19a8389e; 0 0 0
AVD CRC 580edbb6 4b26d3eb 8dd23344; 0 0 0
AVD CRC d103216d 294db419 4465abd8; 0 0 0
AVD CRC 28b52a68 29d433f2 b15e3d50; 0 0 0
AVD CRC a84d31b 4448110f bc7e7281; 0 0 0
AVD CRC 1b596368 377bda8d 8c095288; 0 0 0
AVD CRC d303969c d0d58d78 3d603f74; 0 0 0
AVD CRC 4f09c8a6 c8f42b8a 5d6e849f; 0 0 0
AVD CRC 2d8bb4fa dde8fcbb 8de94165; 0 0 0
AVD CRC 48f03a12 f8aac8c9 d55b8683; 0 0 0
AVD CRC 6c46b53 4c490d14 7b5f7e17; 0 0 0
AVD CRC 4fd203a4 472def90 4c68e5a0; 0 0 0
AVD CRC 80ff0bc0 6b3f804b 1bd37109; 0 0 0
AVD CRC 286c0649 bafb6d86 c5fb390a; 0 0 0
AVD CRC 9de502ea a0a2e31e 4f7c135; 0 0 0
AVD CRC 60a9d00e 9cc351e0 1a53dafb; 0 0 0
AVD CRC b3b65205 e08eb809 30e2407a; 0 0 0
AVD CRC 970bec73 3ec2e498 fae0329; 0 0 0
AVD CRC ed79e757 c8cbef7f 2f710143; 0 0 0
AVD CRC dc462e0f 15bd0150 adcf0b50; 0 0 0
AVD CRC 417fef0 7f57056b 2ab49f05; 0 0 0
AVD CRC 1cb05ac2 e11aa0df fe6e5212; 0 0 0
AVD CRC ee1bb535 f439469d 1f3f5847; 0 0 0
AVD CRC f0ef6b85 60c76242 99affadf; 0 0 0
AVD CRC c85bbea5 ee83822d 57ea572c; 0 0 0
AVD CRC 5751efde 7cd95a60 d8e8452; 0 0 0
AVD CRC 5e34ca79 dc05c547 ed88f1f7; 0 0 0
AVD CRC 700ba8da e8b9e5 dd357693; 0 0 0
AVD CRC 37c942fc cbd8edb4 222d14f0; 0 0 0
AVD CRC 3c6e7adb 825093da 519d6cb5; 0 0 0
AVD CRC 6b191cdb 2744efc5 ef0616c1; 0 0 0
AVD CRC 39dee983 20f41c59 7362b979; 0 0 0
AVD CRC 88c92d81 bf37685d 9af615dc; 0 0 0
AVD CRC 864a2875 9f65a30a 4ea127d9; 0 0 0
AVD CRC c7eae2cc e0a46a87 80645fc5; 0 0 0
AVD CRC 4b75ba38 34e5de83 311b7a55; 0 0 0
AVD CRC c23998b3 be1b95ee bc18b8e; 0 0 0
AVD CRC 4155bdf2 1a180825 d595eece; 0 0 0
AVD CRC 222fff2 8e981b3b 28eb3c48; 0 0 0
AVD CRC 41a2cbc9 b1ea42f5 3d75eeb; 0 0 0
AVD CRC c3c45076 e38c080d e9eadea2; 0 0 0
AVD CRC bd04a0b0 5abaf4e7 9056c618; 0 0 0
AVD CRC 35def2e3 999a83cd 922374a5; 0 0 0
AVD CRC 4e596ff5 20e5ab65 20776485; 0 0 0
AVD CRC 96581764 2ee8fdc4 cd7091eb; 0 0 0
AVD CRC bf6ab074 3db8fea6 d8ff694a; 0 0 0
AVD CRC 8993d0b8 93139a83 fcbc64c2; 0 0 0
AVD CRC 48c9f16d adcee21b cfaf52b5; 0 0 0
AVD CRC 49b5987b da712de e1604b42; 0 0 0
AVD CRC cd6cc562 a459dd0f 5983385b; 0 0 0
AVD CRC bcbace33 d5b69855 f656e169; 0 0 0
AVD CRC 9035a45b 790ad60e 12c2f881; 0 0 0
AVD CRC 200489ff a3087fc4 2166c256; 0 0 0
AVD CRC 266fd88a f2b7a520 b031e3ae; 0 0 0
AVD CRC 93d2c119 406c0da2 854e1de5; 0 0 0
AVD CRC 8df0fccc d9187576 6f85f8d5; 0 0 0
AVD CRC e91f8718 deea93b2 ececab63; 0 0 0
AVD CRC 8dc11058 3aba6201 bf699b4f; 0 0 0
AVD CRC e68fa23f 71e565ff da8bab87; 0 0 0
AVD CRC 42b5a882 5505a702 232eb309; 0 0 0
AVD CRC 537bbb5f fff09454 840c5566; 0 0 0
AVD CRC fef5e892 da78cd25 e3d0ca4f; 0 0 0
AVD CRC 550e0d37 1e95e85b 3f208040; 0 0 0
AVD CRC e56d67ef 88dfacc3 21d0f819; 0 0 0
AVD CRC 68780308 83bc8b8 ffaa9240; 0 0 0
AVD CRC 2aa3263e a8d2dcc4 85446fb3; 0 0 0
AVD CRC 897d97cc b253764f df359584; 0 0 0
AVD CRC 71cda254 27cebffe fae6fa70; 0 0 0
AVD CRC 3a6d8014 e640c998 8e88becb; 0 0 0
AVD CRC 437ebd15 6474b21d a0d3b298; 0 0 0
AVD CRC c0f69d44 d42a856d 7b71f877; 0 0 0
AVD CRC edbc7dda dbb8b86e 998cbc18; 0 0 0
AVD CRC 688a84e8 a054f239 17080406; 0 0 0
AVD CRC 7a02464d b43eeade f7e9418f; 0 0 0
AVD CRC 9010cd54 e99a5c41 699ba821; 0 0 0
AVD CRC 2fa7b3b4 e5ea3ddd 3d4fb508; 0 0 0
AVD CRC 29b41736 e1858d17 8c113135; 0 0 0
AVD CRC a065d7e2 464af6cb 72aff40b; 0 0 0
AVD CRC c12e3d30 71bdae84 ab729845; 0 0 0
AVD CRC 8dff60f6 a4ffb8e4 5939fab6; 0 0 0
AVD CRC 903f37f7 faea06ef 6d0ac903; 0 0 0
AVD CRC d6f5cecd 9ab89404 57817558; 0 0 0
AVD CRC 5a88763b 693c21b3 aebc7b1a; 0 0 0
AVD CRC 28436223 5e0c2ae5 cec378cf; 0 0 0
AVD CRC ced13523 2e1d7cbd c7a90bd8; 0 0 0
AVD CRC d01ba601 37706822 a5097f09; 0 0 0
AVD CRC 4b2139e9 7d24502d cddc5c36; 0 0 0
AVD CRC 1c9d6eb2 d0bbc35d 4aa43fd4; 0 0 0
AVD CRC d2c49b34 7472fa0d 46b990ee; 0 0 0
AVD CRC d5d7af0 942dc2c8 99ad3e86; 0 0 0
AVD CRC cff0eee 87abe42 da488ad7; 0 0 0
AVD CRC 76912751 61518efe 589421e7; 0 0 0
AVD CRC 9eb1cd37 f53bef80 4832f8e7; 0 0 0
AVD CRC 8527b52a a1a0c0da 5cdb2fe1; 0 0 0
AVD CRC c85c8686 3e780410 97c51615; 0 0 0
AVD CRC 7e3d0bc1 446bfda5 198673a7; 0 0 0
AVD CRC c53d9d45 7e53c29c 79c9c6e0; 0 0 0
AVD CRC 6ad447aa 54f07f03 48555a51; 0 0 0
AVD CRC 81829ca5 d1b86b01 fe22c966; 0 0 0
AVD CRC c850f817 bdab9302 a0868f8d; 0 0 0
AVD CRC 5d74fb8 59e91618 c065546d; 0 0 0
AVD CRC 40568e5e 23d3d1cb 6b6bf071; 0 0 0
AVD CRC e000732c 3b9fa54a 1059d11e; 0 0 0
AVD CRC da19f1bb 2df0f9a4 dca363a0; 0 0 0
AVD CRC 9face385 4a20b7bf fdf0914f; 0 0 0
