SROM fields,,,,,,BCM943602X100EVB_6 Rev 13 (FCC),,
Byte Offset,,Word Offset,,Description,Value,Explanation,,
124,7C,62,3E,BAR2 enable and size,0xffff  ,,,
126,7E,63,3F,reserved,0xffff  ,,,
128,80,64,40,Srom Signature,0x9999,Srom Rev 12,,
130,82,65,41,Board Rev,0x1613,"Board rev P613 [X100 Icebock Cidre ES6.1 MMM SR, SS-Split, extended SROM, latest updated PPR]",,
132,84,66,42,boardflags bits 15:0,0x1001  ,"bit0 : bt_coex, bit12 : extlna_2g  ",,
134,86,67,43,(boardflags) bits 31:16,0x1040,"bit28 : extlna_5g, fem_bt",,
136,88,68,44,boardflags2 bits 47:32,0x0002  ,bit33 : RFPLL loop BW 150KHz,,
138,8A,69,45,(boardflags2) 63:48,0x0080,Set BFL2_BT_SHARE_ANT0 - indicates sharing of core 0 antenna with BT,,
140,8C,70,46,boardflags3 bits 79:64,0x0005,bit[66:64] : femctrl_sub  = 5,,
142,8E,71,47,(boardflags3) 95:80,0x0A00  ,Set external LPO as default,,
144,90,72,48,macaddr,0x0090  ,machi,,
146,92,73,49,(macaddr),0x4c1b,macmid,,
148,94,74,4A,(macaddr),0xfXXX ,maclo,,
150,96,75,4B,ccode,0x5830,CountryCode (FCC),,
152,98,76,4C,regrev,0x00F5,Regulatory revision (245 in decimal),,
154,9A,77,4D,"ledbh0, ledbh1",0xffff  ,LED behavior,,
156,9C,78,4E,"ledbh2, ledbh3",0xffff  ,LED behavior,,
158,9E,79,4F,leddc,0xffff  ,Default led duty cycle,,
160,A0,80,50,aa5g/aa2g,0x0707  ,3 antennas for both 2.4G and 5G,,
162,A2,81,51,antgain_bandbg[core_01],0x8585,"5.5dB both cores (8bit per core, bit 5:0: whole number in dB, bit 7:6: 1/4dB)",,
164,A4,82,52,"antgain_bandbg[core_2], antgain_banda[core_0]",0x8547,"5.5dB g-band, 7.25dB a-band (8bit per core, bit 5:0: whole number in dB, bit 7:6: 1/4dB)",,
166,A6,83,53,antgain_banda[core_12],0x4747,"7.25dB both cores (8bit per core, bit 5:0: whole number in dB, bit 7:6: 1/4dB)",,
168,A8,84,54,"0:3 txchain bitmap
4:7 rxchain bitmap
8:15 ant switch type",0x0077  ,3 cores active for tx and rx,,
170,AA,85,55,fem_cfg1,0x11c1,"15:11 femctrl,10 papd_cap_2g,9 2_range_tssi_2g,8:4 pd_gain_2g, 3:1 epa_gain_2g, 0 tssi_posslope_2g",,
172,AC,86,56,fem_cfg2,0x01c1,"15:11 gainctrl_sph,10 papd_cap_5g,9 2_rg_tssi_5g,8:4 pd_gain_5g, 3:1 epa_gain_5g, 0 tssi_posslope_5g",,
174,AE,87,57,Upper 2 nibb: temp. thres. Lower: temps. sens. offset,0x78ff  ,max. die temp. = 120C,,
176,B0,88,58,"0:9 raw tempsense
15:9 measured power",0xffff  ,,,
178,B2,89,59,"0:7 tempsense slope
8:9 tempsense option
10:15 tempcorrs",0xffff  ,,,
180,B4,90,5A,xtalfreq,0x9C40,XTAL Frequency = 40MHz (0x9C40),,
182,B6,91,5B,gain_cal_temp,0xffff  ,temperature during gain cal,,
184,B8,92,5C,"Temp_hyst, temps_perios, phycal_tempdelta",0x5128  ,5C thermal hysteresis. 1s polling interval,,
186,BA,93,5D,"measpower1, measpower2",0xffff  ,"6:0: Measpower1, 13:7: Measpower2. meas. Tx power CH7&13 in MFGc.",,
188,BC,94,5E,rssi_delta_2gb0_20c0,0xffff  ,"rssi cal gain delta for 2g 20MHz freq grp 0 core 0. [ b15-8: gain delta 2, b7-0: gain delta 1]. Same bit format for other bw, freq group and core.",,
190,BE,95,5F,rssi_delta_2gb0_40c0,0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 0 core 0,,
192,C0,96,60,rssi_delta_2gb0_20c1,0xffff  ,rssi cal gain delta for 2g 20MHz freq grp 0 core 1,,
194,C2,97,61,rssi_delta_2gb0_40c1,0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 0 core 1,,
196,C4,98,62,rssi_delta_2gb0_20c2,0xffff  ,rssi cal gain delta for 2g 20MHz freq grp 0 core 2,,
198,C6,99,63,rssi_delta_2gb0_40c2,0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 0 core 2,,
200,C8,100,64,rssi_delta_2gb1_20c0, 0xffff  ,"rssi cal gain delta for 2g 20MHz freq grp 1 core 0. [ b15-8: gain delta 2, b7-0: gain delta 1]. Same bit format for other bw, freq group and core.",,
202,CA,101,65,rssi_delta_2gb1_40c0, 0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 1 core 0,,
204,CC,102,66,rssi_delta_2gb1_20c1, 0xffff  ,rssi cal gain delta for 2g 20MHz freq grp 1 core 1,,
206,CE,103,67,rssi_delta_2gb1_40c1, 0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 1 core 1,,
208,D0,104,68,rssi_delta_2gb1_20c2, 0xffff  ,rssi cal gain delta for 2g 20MHz freq grp 1 core 2,,
210,D2,105,69,rssi_delta_2gb1_40c2, 0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 1 core 2,,
212,D4,106,6A,rssi_delta_2gb2_40c0, 0xffff  ,"rssi cal gain delta for 2g 20MHz freq grp 2 core 0. [ b15-8: gain delta 2, b7-0: gain delta 1]. Same bit format for other bw, freq group and core.",,
214,D6,107,6B,subband5gver,0x0005,number of subbands used in 5G band,,
216,D8,108,6C,rssi_delta_2gb2_40c0, 0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 2 core 0,,
218,DA,109,6D,rssi_delta_2gb2_20c1, 0xffff  ,rssi cal gain delta for 2g 20MHz freq grp 2 core 1,,
220,DC,110,6E,rssi_delta_2gb2_40c1, 0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 2 core 1,,
222,DE,111,6F,rssi_delta_2gb2_20c2, 0xffff  ,rssi cal gain delta for 2g 20MHz freq grp 2 core 2,,
224,E0,112,70,rssi_delta_2gb2_40c2, 0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 2 core 2,,
226,E2,113,71,rssi_delta_2gb3_20c0, 0xffff  ,"rssi cal gain delta for 2g 20MHz freq grp 3 core 0. [ b15-8: gain delta 2, b7-0: gain delta 1]. Same bit format for other bw, freq group and core.",,
228,E4,114,72,rssi_delta_2gb3_40c0, 0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 3 core 0,,
230,E6,115,73,rssi_delta_2gb3_20c1, 0xffff  ,rssi cal gain delta for 2g 20MHz freq grp 3 core 1,,
232,E8,116,74,rssi_delta_2gb3_40c1, 0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 3 core 1,,
234,EA,117,75,rssi_delta_2gb3_20c2, 0xffff  ,rssi cal gain delta for 2g 20MHz freq grp 3 core 2,,
236,EC,118,76,rssi_delta_2gb3_40c2, 0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 3 core 2,,
238,EE,119,77,rssi_delta_2gb4_20c0, 0xffff  ,"rssi cal gain delta for 2g 20MHz freq grp 4 core 0. [ b15-8: gain delta 2, b7-0: gain delta 1]. Same bit format for other bw, freq group and core.",,
240,F0,120,78,rssi_delta_2gb4_40c0, 0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 4 core 0,,
242,F2,121,79,rssi_delta_2gb4_20c1, 0xffff  ,rssi cal gain delta for 2g 20MHz freq grp 4 core 1,,
244,F4,122,7A,rssi_delta_2gb4_40c1, 0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 4 core 1,,
246,F6,123,7B,rssi_delta_2gb4_20c2, 0xffff  ,rssi cal gain delta for 2g 20MHz freq grp 4 core 2,,
248,F8,124,7C,rssi_delta_2gb4_40c2, 0xffff  ,rssi cal gain delta for 2g 40MHz freq grp 4 core 2,,
250,FA,125,7D,rssi_cal_freq_grp_2g_0, 0x0000  ,"2g ch to grp mapping: b15: if ch 4 used for cal, b14-12: ch 4 grp; b11: if ch 3 used for cal, b10-8: ch 3 grp; b7: if ch 2 used for cal, b6-4: ch 2 grp; b3: if ch 1 used for cal, b2-0: ch 1 grp;",,
252,FC,126,7E,rssi_cal_freq_grp_2g_1,0x0080,"2g ch to grp mapping: b15: if ch 8 used for cal, b14-12: ch 8 grp; b11: if ch 7 used for cal, b10-8: ch 7 grp; b7: if ch 6 used for cal, b6-4: ch 6 grp; b3: if ch 5 used for cal, b2-0: ch 5 grp;",,
254,FE,127,7F,rssi_cal_freq_grp_2g_2,0x0000,"2g ch to grp mapping: b15: if ch 12 used for cal, b14-12: ch 12 grp; b11: if ch 11 used for cal, b10-8: ch 11 grp; b7: if ch 10 used for cal, b6-4: ch 10 grp; b3: if ch 9 used for cal, b2-0: ch 9 grp;",,
256,100,128,80,rssi_qdB_en; temp_comp_tr_loss; rud_agc_enable; rssi_cal_freq_grp_2g_3, 0x0200  ,"b10:rssi_qdB_en; b9:temp_comp_tr_loss_en; b8: rud_agc_enable; 2g chan to grp mapping:  b7: if ch 14 used for cal, b6-4: ch 14 grp; b2: if ch 13 used for cal, b2-0: ch 13 grp;",,
258,102,129,81,rssi_delta_5gl_20c0, 0xffff  ,"rssi cal gain delta for 5g 20MHz low band core 0. [ b15-8: gain delta 2, b7-0: gain delta 1]. Same bit format for other bw, band, subband, and core.",,
260,104,130,82,rssi_delta_5gl_40c0, 0xffff  ,rssi cal gain delta for 5g 40MHz low band core 0,,
262,106,131,83,rssi_delta_5gl_80c0, 0xffff  ,rssi cal gain delta for 5g 80MHz low band core 0,,
264,108,132,84,rssi_delta_5gl_20c1, 0xffff  ,rssi cal gain delta for 5g 20MHz low band core 1,,
266,10A,133,85,rssi_delta_5gl_40c1, 0xffff  ,rssi cal gain delta for 5g 40MHz low band core 1,,
268,10C,134,86,rssi_delta_5gl_80c1, 0xffff  ,rssi cal gain delta for 5g 80MHz low band core 1,,
270,10E,135,87,rssi_delta_5gl_20c2, 0xffff  ,rssi cal gain delta for 5g 20MHz low band core 2,,
272,110,136,88,rssi_delta_5gl_40c2, 0xffff  ,rssi cal gain delta for 5g 40MHz low band core 2,,
274,112,137,89,rssi_delta_5gl_80c2, 0xffff  ,rssi cal gain delta for 5g 80MHz low band core 2,,
276,114,138,8A,rssi_delta_5gml_20c0, 0xffff  ,"rssi cal gain delta for 5g 20MHz mid band, lower subband core 0. [ b15-8: gain delta 2, b7-0: gain delta 1]. Same bit format for other bw, band, subband, and core.",,
278,116,139,8B,rssi_delta_5gml_40c0, 0xffff  ,rssi cal gain delta for 5g 40MHz mid-lower subband core 0,,
280,118,140,8C,rssi_delta_5gml_80c0, 0xffff  ,rssi cal gain delta for 5g 80MHz mid-lower subband core 0,,
282,11A,141,8D,rssi_delta_5gml_20c1, 0xffff  ,rssi cal gain delta for 5g 20MHz mid-lower subband core 1,,
284,11C,142,8E,rssi_delta_5gml_40c1, 0xffff  ,rssi cal gain delta for 5g 40MHz mid-lower subband core 1,,
286,11E,143,8F,rssi_delta_5gml_80c1, 0xffff  ,rssi cal gain delta for 5g 80MHz mid-lower subband core 1,,
288,120,144,90,rssi_delta_5gml_20c2, 0xffff  ,rssi cal gain delta for 5g 20MHz mid-lower subband core 2,,
290,122,145,91,rssi_delta_5gml_40c2, 0xffff  ,rssi cal gain delta for 5g 40MHz mid-lower subband core 2,,
292,124,146,92,rssi_delta_5gml_80c2, 0xffff  ,rssi cal gain delta for 5g 80MHz mid-lower subband core 2,,
294,126,147,93,rssi_delta_5gmu_20c0, 0xffff  ,"rssi cal gain delta for 5g 20MHz mid-upper subband core 0. [ b15-8: gain delta 2, b7-0: gain delta 1]. Same bit format for other bw, band, subband, and core.",,
296,128,148,94,rssi_delta_5gmu_40c0, 0xffff  ,rssi cal gain delta for 5g 40MHz mid-upper subband core 0,,
298,12A,149,95,rssi_delta_5gmu_80c0, 0xffff  ,rssi cal gain delta for 5g 80MHz mid-upper subband core 0,,
300,12C,150,96,rssi_delta_5gmu_20c1, 0xffff  ,rssi cal gain delta for 5g 20MHz mid-upper subband core 1,,
302,12E,151,97,rssi_delta_5gmu_40c1, 0xffff  ,rssi cal gain delta for 5g 40MHz mid-upper subband core 1,,
304,130,152,98,rssi_delta_5gmu_80c1, 0xffff  ,rssi cal gain delta for 5g 80MHz mid-upper subband core 1,,
306,132,153,99,rssi_delta_5gmu_20c2, 0xffff  ,rssi cal gain delta for 5g 20MHz mid-upper subband core 2,,
308,134,154,9A,rssi_delta_5gml_40c2, 0xffff  ,rssi cal gain delta for 5g 40MHz mid-upper subband core 2,,
310,136,155,9B,rssi_delta_5gml_80c2, 0xffff  ,rssi cal gain delta for 5g 80MHz mid-upper subband core 2,,
312,138,156,9C,rssi_delta_5gh_20c0, 0xffff  ,"rssi cal gain delta for 5g 20MHz high band core 0. [ b15-8: gain delta 2, b7-0: gain delta 1]. Same bit format for other bw, band, subband, and core.",,
314,13A,157,9D,rssi_delta_5gh_40c0, 0xffff  ,rssi cal gain delta for 5g 40MHz high band core 0,,
316,13C,158,9E,rssi_delta_5gh_80c0, 0xffff  ,rssi cal gain delta for 5g 80MHz high band core 0,,
318,13E,159,9F,rssi_delta_5gh_20c1, 0xffff  ,rssi cal gain delta for 5g 20MHz high band core 1,,
320,140,160,A0,rssi_delta_5gh_40c1, 0xffff  ,rssi cal gain delta for 5g 40MHz high band core 1,,
322,142,161,A1,rssi_delta_5gh_80c1, 0xffff  ,rssi cal gain delta for 5g 80MHz high band core 1,,
324,144,162,A2,rssi_delta_5gh_20c2, 0xffff  ,rssi cal gain delta for 5g 20MHz high band core 2,,
326,146,163,A3,rssi_delta_5gh_40c2, 0xffff  ,rssi cal gain delta for 5g 40MHz high band core 2,,
328,148,164,A4,rssi_delta_5gh_80c2, 0xffff  ,rssi cal gain delta for 5g 80MHz high band core 2,,
330,14A,165,A5,rssicorrnorm_c0, 0xfffb  ,core 0 offset applied to packet based on tone calibration,,
332,14C,166,A6,rssicorrnorm_c1, 0xfffb  ,core 1 offset applied to packet based on tone calibration,,
334,14E,167,A7,rssicorrnorm_c2, 0xfffb  ,core 2 offset applied to packet based on tone calibration,,
336,150,168,A8,cckbw202gpo  ,0x0000,"2G CCK Power offsets for 20 MHz rates (11, 5.5, 2, 1Mbps)",,
338,152,169,A9,cckbw20ul2gpo ,0x0000,"2G CCK Power offsets for 20 U/L rates (11, 5.5, 2, 1 Mbps)",,
340,154,170,AA,mcsbw202gpo ,0x3000,"2G: 11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 20MHz. LSB nib: m0/m1/m2, MSB nib: c9.",,
342,156,171,AB,(mcsbw202gpo) ,0x9733, ,,
344,158,172,AC,mcsbw402gpo ,0x3000,"2G: 11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 40MHz. LSB nib: m0/m1/m2, MSB nib: c9.",,
346,15A,173,AD,(mcsbw402gpo) ,0x9733, ,,
348,15C,174,AE,dot11agofdmhrbw202gpo,0x3300,"2G: Power offsets for 20 MHz 11a/g rates (54, 48, 36, 24 Mbps). LSB nib: 24 Mbps, MSB nib: 54 Mbps",,
350,15E,175,AF,ofdmlrbw202gpo,0x0000,"2G, LSB nib to MSB nib: (0) 11a/g 20 MHz 6/9 Mbps (1) 11a/g 20 MHz 12/18 Mbps (2) 11n/11ac 20 MHz mcs 1/2 power offset w.r.t. mcs 0/1/2 (3) 11n/11ac 40 MHz mcs 1/2 power offset w.r.t. mcs 0/1/2",,
352,160,176,B0,mcsbw205glpo,0x3000,"5G low sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 20 MHz. LSB nib: m0/1/2, MSB nib: c9",,
354,162,177,B1,(mcsbw205glpo) ,0x7533,,,
356,164,178,B2,mcsbw405glpo,0x4000,"5G low sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 40 MHz. LSB nib: m0/1/2, MSB nib: c9.",,
358,166,179,B3,(mcsbw405glpo),0x8644,,,
360,168,180,B4,mcsbw805glpo ,0x4000,"5G low sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 80 MHz. LSB nib: m0/1/2, MSB nib: c9",,
362,16A,181,B5,(mcsbw805glpo),0x8644,,,
364,16C,182,B6,rpcal2g ,0xffff  ,"2g reciprocity comp. coeffs. (U0.8 format): B[7:0] = angle(K(1))/2pi, B[15:8] = angle(K(2))/2pi",,
366,16E,183,B7,rpcal5gb0 ,0xffff  ,"5g subband0 reciprocity comp. coeffs. (U0.8 format): B[7:0] = angle(K(1))/2pi, B[15:8] = angle(K(2))/2pi ",,
368,170,184,B8,mcsbw205gmpo,0x3000,"5G mid sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 20 MHz. LSB nib: m0/1/2, MSB nib: c9.",,
370,172,185,B9,(mcsbw205gmpo),0x7533,,,
372,174,186,BA,mcsbw405gmpo,0x4000,"5G mid sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 40 MHz. LSB nib: m0/1/2, MSB nib: c9",,
374,176,187,BB,(mcsbw405gmpo) ,0x8644,,,
376,178,188,BC,mcsbw805gmpo ,0x4000,"5G mid sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 80 MHz. LSB nib: m0/1/2, MSB nib: c9",,
378,17A,189,BD,(mcsbw805gmpo) ,0x8644,,,
380,17C,190,BE,rpcal5gb1,0xffff  ,"5g subband1 reciprocity comp. coeffs. (U0.8 format): B[7:0] = angle(K(1))/2pi, B[15:8] = angle(K(2))/2pi ",,
382,17E,191,BF,rpcal5gb2 ,0xffff  ,"5g subband2 reciprocity comp. coeffs. (U0.8 format): B[7:0] = angle(K(1))/2pi, B[15:8] = angle(K(2))/2pi ",,
384,180,192,C0,mcsbw205gh1po,0x3000,"5G high1 sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 20 MHz. LSB nib: m0/1/2, MSB nib: c9",,
386,182,193,C1,(mcsbw205gh1po) ,0x7533,,,
388,184,194,C2,mcsbw405gh1po,0x4000,"5G high1 sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 40 MHz. LSB nib: m0/1/2, MSB nib: c9",,
390,186,195,C3,(mcsbw405gh1po) ,0x8644,,,
392,188,196,C4,mcsbw805gh1po,0x4000,"5G high1 sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 80 MHz. LSB nib: m0/1/2, MSB nib: c9",,
394,18A,197,C5,(mcsbw805gh1po) ,0x8644,,,
396,18C,198,C6,rpcal5gb3,0xffff  ,"5g subband3 reciprocity comp. coeffs. (U0.8 format): B[7:0] = angle(K(1))/2pi, B[15:8] = angle(K(2))/2pi ",,
398,18E,199,C7,(mcsbw1605ghpo) ,0x0000,,,
400,190,200,C8,mcslr5glpo ,0x0000,"5G low sb 11ag/n/ac QPSK power offset w.r.t. BPSK - mcs 1/2 w.r.t mcs 0/1/2 and 12/18 Mbps w.r.t 6/9
Mbps. LSB to MSB nib: 20/40/80/160MHz",,
402,192,201,C9,mcslr5gmpo ,0x0000,"5G mid sb 11ag/n/ac QPSK power offset w.r.t. BPSK - mcs 1/2 w.r.t mcs 0/1/2 and 12/18 Mbps w.r.t 6/9
Mbps. LSB to MSB nib: 20/40/80/160MHz",,
404,194,202,CA,mcslr5gh1po ,0x0000,"5G high1 sb 11ag/n/ac QPSK power offset w.r.t. BPSK - mcs 1/2 w.r.t mcs 0/1/2 and 12/18 Mbps w.r.t 6/9
Mbps. LSB to MSB nib: 20/40/80/160 MHz",,
406,196,203,CB,sb20in40hrpo ,0x0000,20in40 OFDM signed power offsets w.r.t. 20in20 for 64 QAM and above. LSB nib to MSB nib: 2G/5G low/5G/mid/5G high,,
408,198,204,CC,sb20in80and160hr5glpo ,0x0000,"5G low sb 20in80, 20in160 OFDM sign. pwr off. for 64 QAM and above. LSB nib to MSB nib: 20in80
w.r.t. 20in20/20in160 w.r.t. 20in20/20in80 - 20LL/UU w.r.t to 20LU/UL/20in160 - 20LLL/UUU w.r.t. 20in160",,
410,19A,205,CD,sb40and80hr5glpo,0x0000,"5G low sb 40in80, 40in160 OFDM sign. pwr off.for 64 QAM and above. LSB nib to MSB nib: 40in80 w.r.t.
40in40/40in160 w.r.t. 40in40/80in160 w.r.t. 80in80/40in160 - 40LL/UU w.r.t to 40LU/UL",,
412,19C,206,CE,sb20in80and160hr5gmpo ,0x0000,"5G mid sb 20in80, 20in160 OFDM sign. pwr off. for 64 QAM and above. LSB nib to MSB nib: 20in80 w.r.t.
20in20/20in160 w.r.t. 20in20/20in80 - 20LL/UU w.r.t to 20LU/UL/20in160 - 20LLL/UUU w.r.t 20in160 sb",,
414,19E,207,CF,sb40and80hr5gmpo,0x0000,"5G mid sb 40in80, 40in160 OFDM sign. pwr off. for 64 QAM and above. LSB nib to MSB nib: 40in80 w.r.t.
40in40/40in160 w.r.t. 40in40/80in160 w.r.t. 80in80/40in160 - 40LL/UU w.r.t to 40LU/UL",,
416,1A0,208,D0,sb20in80and160h1r5ghpo,0x0000,"5G high1 sb 20in80, 20in160 OFDM sign. pwr off. for 64 QAM & above. LSB nib to MSB nib: 20in80 w.r.t.
20in20/20in160 w.r.t. 20in20/20in80 - 20LL/UU w.r.t to 20LU/UL/20in160 - 20LLL/UUU w.r.t 20in160 sb",,
418,1A2,209,D1,sb40and80h1r5ghpo,0x0000,"5G high1 sb 40in80, 40in160 OFDM sign. pwr off. for 64 QAM and above. LSB nib to MSB nib: 40in80 w.r.t.
40in40/40in160 w.r.t. 40in40/80in160 w.r.t. 80in80/40in160 - 40LL/UU w.r.t to 40LU/UL",,
420,1A4,210,D2,sb20in40lrpo,0x0000,20in40 OFDM sign. pwr off. w.r.t. 20in20 for 16 QAM & below.LSB nib to MSB nib:2G /5Glow/5Gmid/5Ghigh,,
422,1A6,211,D3,sb20in80and160lr5glpo,0x0000,"5G low sb 20in80, 20in160 OFDM sign. pwr off. for 16 QAM and below. LSB nib to MSB nib: 20in80 w.r.t.
20in20/20in160 w.r.t. 20in20/20in80 - 20LL/UU w.r.t to 20LU/UL/20in160 - 20LLL/UUU w.r.t 20in160 sb",,
424,1A8,212,D4,sb40and80lr5glpo,0x0000,"5G low sb 40in80, 40in160 OFDM sign. pwr off. for 16 QAM & below. LSB nib. to MSB nib.: 40in80 w.r.t.
40in40/40in160 w.r.t. 40in40/80in160 w.r.t. 80in80/40in160 - 40LL/UU w.r.t to 40LU/UL",,
426,1AA,213,D5,sb20in80and160lr5gmpo,0x0000,"5G mid sb 20in80, 20in160 OFDM sign. pwr off. for 16 QAM and below. LSB nib to MSB nib: 20in80 w.r.t.
20in20/20in160 w.r.t. 20in20/20in80 - 20LL/UU w.r.t to 20LU/UL/20in160 - 20LLL/UUU w.r.t 20in160 sb",,
428,1AC,214,D6,sb40and80lr5gmpo ,0x0000,"5G mid sb 40in80, 40in160 OFDM sign. pwr off. for 16 QAM & below. LSB nib to MSB nib: 40in80 w.r.t.
40in40/40in160 w.r.t. 40in40/80in160 w.r.t. 80in80/40in160 - 40LL/UU w.r.t to 40LU/UL",,
