Header Fields,,,,,BCM43570pcieir PCIe Header Template,
56,38,28,1C,Bits [15:0] - mdio data[6][15:0],0x0000,
58,3A,29,1D,Bits [15:0] - mdio data[7][15:0],0x0000,
60,3C,30,1E,"Bits [0] - Num of Vld mdio access[3]
Bits [2:1] - represents l1_sub_pwr_on_scale value for L1_sub_capability registerBits 
[7:3] - represents l1_sub_pwr_on_value value for L1_sub_capability registerBits 
[15:8] - Internal reserved",0x002A,CRWLPCIEGEN2-161 WAR
62,3E,31,1F,Internal reserved,0x0000,
64,40,32,20,Internal reserved,0x0000,
66,42,33,21,Internal reserved,0x0000,
68,44,34,22,Internal reserved,0x0000,
70,46,35,23,Internal reserved,0x0000,
72,48,36,24,Internal reserved,0x0000,
74,4A,37,25,Internal reserved,0x0000,
76,4C,38,26,Internal reserved,0x0000,
78,4E,39,27,Internal reserved,0x0000,
80,50,40,28,Internal reserved,0x0000,
82,52,41,29,Internal reserved,0x0000,
84,54,42,2A,Internal reserved,0x8800,CRWLPCIEGEN2-160 WAR
86,56,43,2B,Internal reserved,0x030A,CRWLPCIEGEN2-160 WAR
88,58,44,2C,Internal reserved,0x0160,CRWLPCIEGEN2-160 WAR
90,5A,45,2D,Internal reserved,0x0000,
92,5C,46,2E,Internal reserved,0x0000,
94,5E,47,2F,Internal reserved,0x0000,
96,60,48,30,PCI device ID,0x43D9,BCM43570 Dual-Band
98,62,49,31,PCI Class Code bits 15:0; set as 0x8000,0x8000,
100,64,50,32,"23:16: set as 0x02
15:8: Internal reserved
7:0 PCI Class code",0x0002,
102,66,51,33,Internal reserved,0x0000,
104,68,52,34,"0 BAR1 Enabled
3:1 BAR1 Size
4 Power Management Enable
10:5 Report PME bits in Dstates11 Clock PME enabled
15:12 BAR0 backplane adddress translation",0x3FF5,
106,6A,53,35,BAR0 backplane adddres translation,0x1800,
108,6C,54,36,BAR2 enable and size,0x0000,
110,6E,55,37,Internal reserved,0x0000,
112,70,56,38,Internal reserved,0x0000,
114,72,57,39,Internal reserved,0x0000,
116,74,58,3A,Internal reserved,0x0000,
118,76,59,3B,Internal reserved,0x0000,
120,78,60,3C,Internal reserved,0x0000,
122,7A,61,3D,Internal reserved,0x0000,
124,7C,62,3E,Internal reserved,0x0000,
126,7E,63,3F,Internal reserved,0x0000,
-1,-1,-1,-1,,"Header Revision, bcm943570pcieir_p153",
,,,,,,
,,,,,,
